Algorithm,Allocation,Processes,Latency
Bruck,core,2,0.25
Bruck,core,4,0.69
Bruck,core,6,0.94
Bruck,core,8,0.95
Bruck,core,10,1.54
Bruck,core,12,1.57
Bruck,core,14,2.39
Bruck,core,16,1.97
Bruck,core,18,3.00
Bruck,core,20,3.28
Bruck,core,22,3.37
Bruck,core,24,3.86
Bruck,core,26,3.94
Bruck,core,28,3.96
Bruck,core,30,4.86
Bruck,core,32,3.26
Bruck,core,34,4.28
Bruck,core,36,4.55
Bruck,core,38,4.94
Bruck,core,40,5.05
Bruck,core,42,5.18
Bruck,core,44,5.17
Bruck,core,46,5.43
Bruck,core,48,5.59
Bruck,socket,2,0.51
Bruck,socket,4,1.31
Bruck,socket,6,1.67
Bruck,socket,8,1.58
Bruck,socket,10,1.90
Bruck,socket,12,2.15
Bruck,socket,14,2.60
Bruck,socket,16,2.18
Bruck,socket,18,2.72
Bruck,socket,20,2.48
Bruck,socket,22,2.53
Bruck,socket,24,2.70
Bruck,socket,26,4.24
Bruck,socket,28,4.51
Bruck,socket,30,4.72
Bruck,socket,32,3.62
Bruck,socket,34,4.65
Bruck,socket,36,5.06
Bruck,socket,38,4.97
Bruck,socket,40,5.03
Bruck,socket,42,5.14
Bruck,socket,44,5.11
Bruck,socket,46,5.17
Bruck,socket,48,5.16
Bruck,node,2,1.05
Bruck,node,4,2.62
Bruck,node,6,2.68
Bruck,node,8,2.40
Bruck,node,10,2.69
Bruck,node,12,3.12
Bruck,node,14,3.17
Bruck,node,16,2.85
Bruck,node,18,3.08
Bruck,node,20,3.17
Bruck,node,22,3.31
Bruck,node,24,3.41
Bruck,node,26,3.66
Bruck,node,28,3.88
Bruck,node,30,3.85
Bruck,node,32,3.41
Bruck,node,34,3.66
Bruck,node,36,3.59
Bruck,node,38,3.67
Bruck,node,40,3.61
Bruck,node,42,3.81
Bruck,node,44,3.73
Bruck,node,46,3.80
Bruck,node,48,3.70
