Algorithm,Allocation,Processes,Latency
DoubleRing,core,2,1.00
DoubleRing,core,4,2.70
DoubleRing,core,6,3.99
DoubleRing,core,8,5.61
DoubleRing,core,10,6.77
DoubleRing,core,12,7.72
DoubleRing,core,14,11.60
DoubleRing,core,16,13.10
DoubleRing,core,18,14.62
DoubleRing,core,20,16.05
DoubleRing,core,22,17.63
DoubleRing,core,24,18.70
DoubleRing,core,26,22.11
DoubleRing,core,28,23.50
DoubleRing,core,30,25.55
DoubleRing,core,32,26.41
DoubleRing,core,34,28.43
DoubleRing,core,36,29.73
DoubleRing,core,38,34.41
DoubleRing,core,40,37.17
DoubleRing,core,42,39.08
DoubleRing,core,44,40.21
DoubleRing,core,46,41.52
DoubleRing,core,48,43.72
DoubleRing,socket,2,2.70
DoubleRing,socket,4,6.19
DoubleRing,socket,6,9.04
DoubleRing,socket,8,12.33
DoubleRing,socket,10,15.24
DoubleRing,socket,12,18.38
DoubleRing,socket,14,21.67
DoubleRing,socket,16,24.49
DoubleRing,socket,18,28.17
DoubleRing,socket,20,30.66
DoubleRing,socket,22,34.36
DoubleRing,socket,24,38.04
DoubleRing,socket,26,44.52
DoubleRing,socket,28,48.71
DoubleRing,socket,30,51.46
DoubleRing,socket,32,55.24
DoubleRing,socket,34,58.26
DoubleRing,socket,36,61.41
DoubleRing,socket,38,65.59
DoubleRing,socket,40,68.26
DoubleRing,socket,42,71.52
DoubleRing,socket,44,74.83
DoubleRing,socket,46,78.41
DoubleRing,socket,48,81.96
DoubleRing,node,2,4.86
DoubleRing,node,4,10.80
DoubleRing,node,6,15.84
DoubleRing,node,8,21.64
DoubleRing,node,10,26.88
DoubleRing,node,12,33.29
DoubleRing,node,14,39.43
DoubleRing,node,16,45.46
DoubleRing,node,18,50.67
DoubleRing,node,20,56.49
DoubleRing,node,22,61.80
DoubleRing,node,24,67.96
DoubleRing,node,26,71.57
DoubleRing,node,28,76.95
DoubleRing,node,30,81.93
DoubleRing,node,32,87.77
DoubleRing,node,34,93.04
DoubleRing,node,36,99.00
DoubleRing,node,38,104.32
DoubleRing,node,40,110.03
DoubleRing,node,42,115.63
DoubleRing,node,44,121.48
DoubleRing,node,46,126.85
DoubleRing,node,48,133.02
