Algorithm,Allocation,Processes,Latency
RecursiveDoubling,core,2,0.25
RecursiveDoubling,core,4,0.71
RecursiveDoubling,core,6,0.87
RecursiveDoubling,core,8,0.98
RecursiveDoubling,core,10,1.46
RecursiveDoubling,core,12,1.54
RecursiveDoubling,core,14,2.42
RecursiveDoubling,core,16,1.91
RecursiveDoubling,core,18,3.06
RecursiveDoubling,core,20,3.68
RecursiveDoubling,core,22,3.33
RecursiveDoubling,core,24,4.03
RecursiveDoubling,core,26,3.92
RecursiveDoubling,core,28,4.02
RecursiveDoubling,core,30,4.80
RecursiveDoubling,core,32,3.31
RecursiveDoubling,core,34,4.31
RecursiveDoubling,core,36,4.52
RecursiveDoubling,core,38,4.95
RecursiveDoubling,core,40,5.01
RecursiveDoubling,core,42,5.19
RecursiveDoubling,core,44,5.17
RecursiveDoubling,core,46,5.51
RecursiveDoubling,core,48,5.63
RecursiveDoubling,socket,2,0.48
RecursiveDoubling,socket,4,1.28
RecursiveDoubling,socket,6,1.68
RecursiveDoubling,socket,8,1.51
RecursiveDoubling,socket,10,1.93
RecursiveDoubling,socket,12,2.11
RecursiveDoubling,socket,14,2.57
RecursiveDoubling,socket,16,2.05
RecursiveDoubling,socket,18,2.58
RecursiveDoubling,socket,20,2.40
RecursiveDoubling,socket,22,2.53
RecursiveDoubling,socket,24,2.55
RecursiveDoubling,socket,26,4.10
RecursiveDoubling,socket,28,4.55
RecursiveDoubling,socket,30,4.69
RecursiveDoubling,socket,32,3.72
RecursiveDoubling,socket,34,4.69
RecursiveDoubling,socket,36,4.85
RecursiveDoubling,socket,38,4.95
RecursiveDoubling,socket,40,4.97
RecursiveDoubling,socket,42,5.17
RecursiveDoubling,socket,44,5.31
RecursiveDoubling,socket,46,5.30
RecursiveDoubling,socket,48,5.35
RecursiveDoubling,node,2,1.05
RecursiveDoubling,node,4,2.65
RecursiveDoubling,node,6,2.64
RecursiveDoubling,node,8,2.41
RecursiveDoubling,node,10,2.71
RecursiveDoubling,node,12,3.08
RecursiveDoubling,node,14,3.12
RecursiveDoubling,node,16,2.90
RecursiveDoubling,node,18,3.18
RecursiveDoubling,node,20,3.37
RecursiveDoubling,node,22,3.35
RecursiveDoubling,node,24,3.47
RecursiveDoubling,node,26,3.66
RecursiveDoubling,node,28,3.89
RecursiveDoubling,node,30,3.80
RecursiveDoubling,node,32,3.31
RecursiveDoubling,node,34,3.60
RecursiveDoubling,node,36,3.66
RecursiveDoubling,node,38,3.76
RecursiveDoubling,node,40,3.88
RecursiveDoubling,node,42,3.96
RecursiveDoubling,node,44,3.82
RecursiveDoubling,node,46,3.76
RecursiveDoubling,node,48,3.72
