Algorithm,Allocation,Processes,Latency
RecursiveDoubling,core,2,0.24
RecursiveDoubling,core,4,0.64
RecursiveDoubling,core,6,1.18
RecursiveDoubling,core,8,0.94
RecursiveDoubling,core,10,1.49
RecursiveDoubling,core,12,1.51
RecursiveDoubling,core,14,2.41
RecursiveDoubling,core,16,1.94
RecursiveDoubling,core,18,3.03
RecursiveDoubling,core,20,3.20
RecursiveDoubling,core,22,3.68
RecursiveDoubling,core,24,3.29
RecursiveDoubling,core,26,4.14
RecursiveDoubling,core,28,4.01
RecursiveDoubling,core,30,4.82
RecursiveDoubling,core,32,3.47
RecursiveDoubling,core,34,4.24
RecursiveDoubling,core,36,4.59
RecursiveDoubling,core,38,4.98
RecursiveDoubling,core,40,5.09
RecursiveDoubling,core,42,5.25
RecursiveDoubling,core,44,5.32
RecursiveDoubling,core,46,5.51
RecursiveDoubling,core,48,5.72
RecursiveDoubling,socket,2,0.47
RecursiveDoubling,socket,4,1.12
RecursiveDoubling,socket,6,1.92
RecursiveDoubling,socket,8,1.48
RecursiveDoubling,socket,10,1.89
RecursiveDoubling,socket,12,2.49
RecursiveDoubling,socket,14,2.53
RecursiveDoubling,socket,16,2.14
RecursiveDoubling,socket,18,2.44
RecursiveDoubling,socket,20,2.35
RecursiveDoubling,socket,22,2.47
RecursiveDoubling,socket,24,2.56
RecursiveDoubling,socket,26,4.28
RecursiveDoubling,socket,28,4.58
RecursiveDoubling,socket,30,4.74
RecursiveDoubling,socket,32,3.41
RecursiveDoubling,socket,34,4.54
RecursiveDoubling,socket,36,4.78
RecursiveDoubling,socket,38,4.93
RecursiveDoubling,socket,40,4.97
RecursiveDoubling,socket,42,5.16
RecursiveDoubling,socket,44,5.22
RecursiveDoubling,socket,46,5.43
RecursiveDoubling,socket,48,5.36
RecursiveDoubling,node,2,1.06
RecursiveDoubling,node,4,1.93
RecursiveDoubling,node,6,2.48
RecursiveDoubling,node,8,2.51
RecursiveDoubling,node,10,2.86
RecursiveDoubling,node,12,3.28
RecursiveDoubling,node,14,3.22
RecursiveDoubling,node,16,3.03
RecursiveDoubling,node,18,3.30
RecursiveDoubling,node,20,3.48
RecursiveDoubling,node,22,3.92
RecursiveDoubling,node,24,3.85
RecursiveDoubling,node,26,4.02
RecursiveDoubling,node,28,4.18
RecursiveDoubling,node,30,4.14
RecursiveDoubling,node,32,3.71
RecursiveDoubling,node,34,4.00
RecursiveDoubling,node,36,3.83
RecursiveDoubling,node,38,4.09
RecursiveDoubling,node,40,4.12
RecursiveDoubling,node,42,4.00
RecursiveDoubling,node,44,4.24
RecursiveDoubling,node,46,4.19
RecursiveDoubling,node,48,3.85
