Algorithm,Allocation,Processes,Latency
Tree,core,2,0.25
Tree,core,4,0.69
Tree,core,6,0.88
Tree,core,8,0.96
Tree,core,10,1.47
Tree,core,12,1.56
Tree,core,14,2.58
Tree,core,16,1.91
Tree,core,18,3.10
Tree,core,20,3.76
Tree,core,22,3.43
Tree,core,24,4.12
Tree,core,26,3.94
Tree,core,28,3.97
Tree,core,30,4.84
Tree,core,32,3.35
Tree,core,34,4.29
Tree,core,36,4.52
Tree,core,38,5.12
Tree,core,40,5.10
Tree,core,42,5.17
Tree,core,44,5.18
Tree,core,46,5.42
Tree,core,48,5.56
Tree,socket,2,0.50
Tree,socket,4,1.38
Tree,socket,6,1.68
Tree,socket,8,1.54
Tree,socket,10,1.96
Tree,socket,12,2.55
Tree,socket,14,2.58
Tree,socket,16,2.05
Tree,socket,18,2.82
Tree,socket,20,2.63
Tree,socket,22,2.48
Tree,socket,24,2.57
Tree,socket,26,4.04
Tree,socket,28,4.47
Tree,socket,30,4.69
Tree,socket,32,3.83
Tree,socket,34,4.71
Tree,socket,36,4.87
Tree,socket,38,5.03
Tree,socket,40,5.03
Tree,socket,42,5.17
Tree,socket,44,5.15
Tree,socket,46,5.18
Tree,socket,48,5.17
Tree,node,2,1.06
Tree,node,4,2.53
Tree,node,6,2.69
Tree,node,8,2.42
Tree,node,10,2.72
Tree,node,12,3.03
Tree,node,14,3.37
Tree,node,16,2.82
Tree,node,18,3.12
Tree,node,20,3.16
Tree,node,22,3.32
Tree,node,24,3.56
Tree,node,26,3.71
Tree,node,28,3.89
Tree,node,30,3.89
Tree,node,32,3.29
Tree,node,34,3.51
Tree,node,36,3.69
Tree,node,38,3.66
Tree,node,40,3.67
Tree,node,42,3.81
Tree,node,44,3.76
Tree,node,46,3.82
Tree,node,48,3.71
