Algorithm,Allocation,Processes,MessageSize,Latency,MinLatency,MaxLatency
BinaryTree,core,2,1,0.20,0.11,0.29
BinaryTree,core,2,2,0.20,0.11,0.29
BinaryTree,core,2,4,0.20,0.10,0.29
BinaryTree,core,2,8,0.19,0.10,0.28
BinaryTree,core,2,16,0.20,0.11,0.29
BinaryTree,core,2,32,0.25,0.11,0.38
BinaryTree,core,2,64,0.24,0.11,0.37
BinaryTree,core,2,128,0.32,0.16,0.48
BinaryTree,core,2,256,0.34,0.17,0.51
BinaryTree,core,2,512,0.36,0.16,0.56
BinaryTree,core,2,1024,0.44,0.22,0.65
BinaryTree,core,2,2048,0.55,0.22,0.87
BinaryTree,core,2,4096,0.84,0.39,1.30
BinaryTree,core,2,8192,1.34,0.67,2.02
BinaryTree,core,2,16384,3.01,2.96,3.07
BinaryTree,core,2,32768,5.13,5.02,5.23
BinaryTree,core,2,65536,6.73,6.62,6.83
BinaryTree,core,2,131072,10.11,10.01,10.22
BinaryTree,core,2,262144,16.62,16.53,16.70
BinaryTree,core,2,524288,31.72,31.65,31.80
BinaryTree,core,2,1048576,68.40,68.37,68.43
BinaryTree,core,4,1,0.34,0.18,0.43
BinaryTree,core,4,2,0.33,0.18,0.42
BinaryTree,core,4,4,0.32,0.18,0.42
BinaryTree,core,4,8,0.33,0.18,0.43
BinaryTree,core,4,16,0.33,0.18,0.42
BinaryTree,core,4,32,0.38,0.18,0.52
BinaryTree,core,4,64,0.38,0.19,0.51
BinaryTree,core,4,128,0.52,0.28,0.70
BinaryTree,core,4,256,0.54,0.30,0.69
BinaryTree,core,4,512,0.62,0.31,0.86
BinaryTree,core,4,1024,0.80,0.40,1.12
BinaryTree,core,4,2048,1.10,0.55,1.56
BinaryTree,core,4,4096,1.74,0.93,2.49
BinaryTree,core,4,8192,2.78,1.58,3.96
BinaryTree,core,4,16384,7.30,4.43,9.85
BinaryTree,core,4,32768,11.85,7.15,15.90
BinaryTree,core,4,65536,17.59,10.36,23.42
BinaryTree,core,4,131072,29.47,17.27,38.92
BinaryTree,core,4,262144,52.36,30.60,68.72
BinaryTree,core,4,524288,97.93,58.72,127.88
BinaryTree,core,4,1048576,193.32,118.36,251.78
BinaryTree,core,6,1,0.50,0.18,0.66
BinaryTree,core,6,2,0.48,0.18,0.63
BinaryTree,core,6,4,0.47,0.18,0.63
BinaryTree,core,6,8,0.47,0.18,0.63
BinaryTree,core,6,16,0.48,0.18,0.66
BinaryTree,core,6,32,0.58,0.19,0.73
BinaryTree,core,6,64,0.59,0.19,0.74
BinaryTree,core,6,128,0.80,0.29,1.01
BinaryTree,core,6,256,0.84,0.30,1.03
BinaryTree,core,6,512,0.92,0.30,1.10
BinaryTree,core,6,1024,1.18,0.41,1.43
BinaryTree,core,6,2048,1.62,0.60,2.04
BinaryTree,core,6,4096,2.39,0.91,3.02
BinaryTree,core,6,8192,3.72,1.57,4.83
BinaryTree,core,6,16384,9.48,5.37,10.98
BinaryTree,core,6,32768,14.75,8.68,17.10
BinaryTree,core,6,65536,23.91,14.19,28.03
BinaryTree,core,6,131072,44.37,26.78,52.48
BinaryTree,core,6,262144,84.50,51.59,100.08
BinaryTree,core,6,524288,167.14,103.15,198.59
BinaryTree,core,6,1048576,334.40,208.74,394.40
BinaryTree,core,8,1,0.70,0.27,0.95
BinaryTree,core,8,2,0.68,0.27,0.92
BinaryTree,core,8,4,0.68,0.26,0.93
BinaryTree,core,8,8,0.67,0.27,0.91
BinaryTree,core,8,16,0.68,0.26,0.91
BinaryTree,core,8,32,0.85,0.32,1.18
BinaryTree,core,8,64,0.84,0.30,1.17
BinaryTree,core,8,128,1.14,0.49,1.49
BinaryTree,core,8,256,1.17,0.51,1.52
BinaryTree,core,8,512,1.29,0.51,1.76
BinaryTree,core,8,1024,1.55,0.59,2.07
BinaryTree,core,8,2048,2.04,0.71,2.74
