Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,2,1,0.23
Binomial,core,2,2,0.22
Binomial,core,2,4,0.21
Binomial,core,2,8,0.21
Binomial,core,2,16,0.21
Binomial,core,2,32,0.26
Binomial,core,2,64,0.25
Binomial,core,2,128,0.33
Binomial,core,2,256,0.35
Binomial,core,2,512,0.36
Binomial,core,2,1024,0.44
Binomial,core,2,2048,0.56
Binomial,core,2,4096,0.85
Binomial,core,2,8192,1.35
Binomial,core,2,16384,3.18
Binomial,core,2,32768,5.33
Binomial,core,2,65536,7.15
Binomial,core,2,131072,10.25
Binomial,core,2,262144,16.11
Binomial,core,2,524288,29.73
Binomial,core,2,1048576,62.41
Binomial,core,3,1,0.40
Binomial,core,3,2,0.40
Binomial,core,3,4,0.40
Binomial,core,3,8,0.39
Binomial,core,3,16,0.40
Binomial,core,3,32,0.42
Binomial,core,3,64,0.44
Binomial,core,3,128,0.55
Binomial,core,3,256,0.60
Binomial,core,3,512,0.62
Binomial,core,3,1024,0.81
Binomial,core,3,2048,0.99
Binomial,core,3,4096,1.46
Binomial,core,3,8192,2.18
Binomial,core,3,16384,4.86
Binomial,core,3,32768,8.01
Binomial,core,3,65536,12.11
Binomial,core,3,131072,18.48
Binomial,core,3,262144,32.14
Binomial,core,3,524288,59.84
Binomial,core,3,1048576,129.83
Binomial,core,4,1,0.38
Binomial,core,4,2,0.38
Binomial,core,4,4,0.35
Binomial,core,4,8,0.34
Binomial,core,4,16,0.34
Binomial,core,4,32,0.39
Binomial,core,4,64,0.39
Binomial,core,4,128,0.54
Binomial,core,4,256,0.57
Binomial,core,4,512,0.63
Binomial,core,4,1024,0.83
Binomial,core,4,2048,1.14
Binomial,core,4,4096,1.75
Binomial,core,4,8192,2.73
Binomial,core,4,16384,6.84
Binomial,core,4,32768,12.01
Binomial,core,4,65536,17.92
Binomial,core,4,131072,28.92
Binomial,core,4,262144,51.41
Binomial,core,4,524288,97.88
Binomial,core,4,1048576,196.54
Binomial,core,5,1,0.32
Binomial,core,5,2,0.43
Binomial,core,5,4,0.38
Binomial,core,5,8,0.35
Binomial,core,5,16,0.32
Binomial,core,5,32,0.40
Binomial,core,5,64,0.40
Binomial,core,5,128,0.61
Binomial,core,5,256,0.61
Binomial,core,5,512,0.67
Binomial,core,5,1024,0.93
Binomial,core,5,2048,1.26
Binomial,core,5,4096,1.94
Binomial,core,5,8192,2.99
Binomial,core,5,16384,7.35
Binomial,core,5,32768,12.19
Binomial,core,5,65536,21.62
Binomial,core,5,131072,37.25
Binomial,core,5,262144,69.91
Binomial,core,5,524288,144.04
Binomial,core,5,1048576,278.40
Binomial,core,6,1,0.54
Binomial,core,6,2,0.49
Binomial,core,6,4,0.46
Binomial,core,6,8,0.45
Binomial,core,6,16,0.46
Binomial,core,6,32,0.55
Binomial,core,6,64,0.53
Binomial,core,6,128,0.78
Binomial,core,6,256,0.80
Binomial,core,6,512,0.89
Binomial,core,6,1024,1.13
Binomial,core,6,2048,1.58
Binomial,core,6,4096,2.38
Binomial,core,6,8192,3.63
Binomial,core,6,16384,8.92
Binomial,core,6,32768,13.91
Binomial,core,6,65536,25.15
Binomial,core,6,131072,47.72
Binomial,core,6,262144,93.26
Binomial,core,6,524288,185.55
Binomial,core,6,1048576,352.15
Binomial,core,7,1,0.53
Binomial,core,7,2,0.54
Binomial,core,7,4,0.53
Binomial,core,7,8,0.53
Binomial,core,7,16,0.53
Binomial,core,7,32,0.61
Binomial,core,7,64,0.62
Binomial,core,7,128,0.85
Binomial,core,7,256,0.91
Binomial,core,7,512,0.97
Binomial,core,7,1024,1.28
Binomial,core,7,2048,1.71
Binomial,core,7,4096,2.57
Binomial,core,7,8192,3.93
Binomial,core,7,16384,9.90
Binomial,core,7,32768,15.93
Binomial,core,7,65536,28.53
Binomial,core,7,131072,53.15
Binomial,core,7,262144,102.15
Binomial,core,7,524288,200.16
Binomial,core,7,1048576,347.97
Binomial,core,8,1,0.83
Binomial,core,8,2,0.80
Binomial,core,8,4,0.72
Binomial,core,8,8,0.70
Binomial,core,8,16,0.68
Binomial,core,8,32,0.82
Binomial,core,8,64,0.81
Binomial,core,8,128,1.12
Binomial,core,8,256,1.17
Binomial,core,8,512,1.29
Binomial,core,8,1024,1.53
Binomial,core,8,2048,2.06
Binomial,core,8,4096,2.94
Binomial,core,8,8192,4.40
Binomial,core,8,16384,11.40
Binomial,core,8,32768,18.12
Binomial,core,8,65536,32.01
Binomial,core,8,131072,59.51
Binomial,core,8,262144,113.12
Binomial,core,8,524288,209.50
Binomial,core,8,1048576,401.55
Binomial,core,9,1,1.05
Binomial,core,9,2,1.02
Binomial,core,9,4,1.05
Binomial,core,9,8,1.02
Binomial,core,9,16,1.03
Binomial,core,9,32,1.17
Binomial,core,9,64,1.15
Binomial,core,9,128,1.48
Binomial,core,9,256,1.49
Binomial,core,9,512,1.57
Binomial,core,9,1024,1.88
Binomial,core,9,2048,2.40
