Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Chain,core,2,1,0.27,0.16,0.39
Chain,core,2,2,0.26,0.15,0.37
Chain,core,2,4,0.24,0.14,0.34
Chain,core,2,8,0.23,0.13,0.33
Chain,core,2,16,0.22,0.12,0.31
Chain,core,2,32,0.25,0.11,0.39
Chain,core,2,64,0.24,0.11,0.37
Chain,core,2,128,0.31,0.15,0.48
Chain,core,2,256,0.33,0.16,0.50
Chain,core,2,512,0.37,0.17,0.57
Chain,core,2,1024,0.42,0.19,0.65
Chain,core,2,2048,0.54,0.21,0.87
Chain,core,2,4096,0.84,0.38,1.31
Chain,core,2,8192,1.35,0.66,2.03
Chain,core,2,16384,3.05,2.99,3.11
Chain,core,2,32768,5.16,5.06,5.27
Chain,core,2,65536,6.80,6.70,6.90
Chain,core,2,131072,10.26,10.15,10.37
Chain,core,2,262144,16.74,16.67,16.82
Chain,core,2,524288,31.68,31.58,31.78
Chain,core,2,1048576,67.65,67.61,67.68
Chain,core,4,1,0.20,0.19,0.21
Chain,core,4,2,0.20,0.20,0.21
Chain,core,4,4,0.21,0.21,0.21
Chain,core,4,8,0.21,0.20,0.21
Chain,core,4,16,0.20,0.20,0.21
Chain,core,4,32,0.28,0.26,0.31
Chain,core,4,64,0.26,0.24,0.29
Chain,core,4,128,0.46,0.35,0.56
Chain,core,4,256,0.49,0.38,0.58
Chain,core,4,512,0.57,0.44,0.72
Chain,core,4,1024,0.73,0.56,0.94
Chain,core,4,2048,1.05,0.78,1.40
Chain,core,4,4096,1.67,1.21,2.25
Chain,core,4,8192,2.61,1.86,3.57
Chain,core,4,16384,5.81,4.75,6.38
Chain,core,4,32768,9.40,8.81,10.11
Chain,core,4,65536,15.81,14.82,16.85
Chain,core,4,131072,28.90,27.49,30.47
Chain,core,4,262144,55.79,53.38,58.01
Chain,core,4,524288,114.54,111.79,116.77
Chain,core,4,1048576,236.71,234.73,238.96
Chain,core,6,1,0.37,0.28,0.57
Chain,core,6,2,0.37,0.28,0.55
Chain,core,6,4,0.36,0.27,0.55
Chain,core,6,8,0.37,0.28,0.55
Chain,core,6,16,0.37,0.28,0.55
Chain,core,6,32,0.45,0.34,0.69
Chain,core,6,64,0.45,0.34,0.69
Chain,core,6,128,0.69,0.54,0.89
Chain,core,6,256,0.73,0.58,0.94
Chain,core,6,512,0.76,0.59,1.03
Chain,core,6,1024,1.06,0.86,1.34
Chain,core,6,2048,1.44,1.16,1.79
Chain,core,6,4096,2.24,1.81,2.84
Chain,core,6,8192,3.48,2.65,4.42
Chain,core,6,16384,8.68,6.06,11.72
Chain,core,6,32768,14.01,10.58,18.18
Chain,core,6,65536,25.08,19.87,32.10
Chain,core,6,131072,47.29,38.53,60.09
Chain,core,6,262144,91.42,75.62,115.73
Chain,core,6,524288,171.22,145.74,212.79
Chain,core,6,1048576,346.29,286.62,434.96
Chain,core,8,1,0.57,0.37,0.82
Chain,core,8,2,0.54,0.34,0.77
Chain,core,8,4,0.54,0.33,0.77
Chain,core,8,8,0.53,0.33,0.77
Chain,core,8,16,0.55,0.34,0.78
Chain,core,8,32,0.66,0.41,0.99
Chain,core,8,64,0.67,0.42,1.00
Chain,core,8,128,1.10,0.60,1.57
Chain,core,8,256,1.11,0.61,1.61
Chain,core,8,512,1.17,0.67,1.69
Chain,core,8,1024,1.47,0.81,2.13
Chain,core,8,2048,1.91,1.01,2.79
Chain,core,8,4096,2.85,1.65,4.09
Chain,core,8,8192,4.39,2.75,6.10
Chain,core,8,16384,10.13,7.23,12.17
Chain,core,8,32768,16.98,12.28,19.53
Chain,core,8,65536,30.15,21.50,33.76
Chain,core,8,131072,56.11,39.51,61.96
Chain,core,8,262144,108.53,76.18,118.90
Chain,core,8,524288,216.19,152.35,239.66
Chain,core,8,1048576,406.10,243.17,452.63
Chain,core,10,1,0.95,0.41,1.44
Chain,core,10,2,0.95,0.43,1.42
Chain,core,10,4,0.93,0.42,1.39
Chain,core,10,8,0.93,0.41,1.40
Chain,core,10,16,0.93,0.42,1.39
Chain,core,10,32,1.06,0.47,1.59
Chain,core,10,64,1.05,0.44,1.62
Chain,core,10,128,1.37,0.66,1.94
Chain,core,10,256,1.39,0.69,1.95
Chain,core,10,512,1.48,0.74,2.16
Chain,core,10,1024,1.83,0.96,2.51
Chain,core,10,2048,2.34,1.23,3.18
Chain,core,10,4096,3.44,1.93,4.63
Chain,core,10,8192,5.12,2.93,7.00
Chain,core,10,16384,12.65,8.40,16.76
Chain,core,10,32768,20.12,14.11,24.95
Chain,core,10,65536,35.06,24.98,44.19
Chain,core,10,131072,64.05,45.98,80.32
Chain,core,10,262144,122.24,88.52,153.01
Chain,core,10,524288,238.93,171.86,300.61
Chain,core,10,1048576,477.53,341.43,601.30
Chain,core,12,1,0.91,0.42,1.36
Chain,core,12,2,0.94,0.44,1.38
Chain,core,12,4,0.88,0.42,1.32
Chain,core,12,8,0.91,0.42,1.35
Chain,core,12,16,0.89,0.42,1.32
Chain,core,12,32,1.07,0.47,1.60
Chain,core,12,64,1.03,0.45,1.53
Chain,core,12,128,1.40,0.68,1.97
Chain,core,12,256,1.45,0.72,2.01
Chain,core,12,512,1.53,0.76,2.14
Chain,core,12,1024,1.93,0.97,2.72
Chain,core,12,2048,2.49,1.25,3.59
Chain,core,12,4096,3.88,2.04,5.66
Chain,core,12,8192,5.89,3.07,8.68
Chain,core,12,16384,14.42,8.60,17.46
