Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Default,core,2,1,0.20,0.11,0.30
Default,core,2,2,0.20,0.11,0.29
Default,core,2,4,0.20,0.11,0.30
Default,core,2,8,0.20,0.11,0.29
Default,core,2,16,0.20,0.11,0.30
Default,core,2,32,0.25,0.12,0.39
Default,core,2,64,0.24,0.11,0.37
Default,core,2,128,0.31,0.15,0.46
Default,core,2,256,0.32,0.16,0.49
Default,core,2,512,0.35,0.16,0.55
Default,core,2,1024,0.41,0.19,0.63
Default,core,2,2048,0.53,0.20,0.85
Default,core,2,4096,0.82,0.37,1.28
Default,core,2,8192,1.31,0.63,1.99
Default,core,2,16384,2.99,2.93,3.05
Default,core,2,32768,5.20,5.10,5.31
Default,core,2,65536,6.80,6.71,6.89
Default,core,2,131072,10.19,10.08,10.30
Default,core,2,262144,16.65,16.59,16.72
Default,core,2,524288,31.76,31.70,31.82
Default,core,2,1048576,69.02,69.00,69.05
Default,core,4,1,0.32,0.18,0.42
Default,core,4,2,0.33,0.18,0.41
Default,core,4,4,0.32,0.18,0.41
Default,core,4,8,0.32,0.18,0.41
Default,core,4,16,0.32,0.18,0.41
Default,core,4,32,0.38,0.19,0.51
Default,core,4,64,0.37,0.18,0.51
Default,core,4,128,0.50,0.26,0.70
Default,core,4,256,0.53,0.27,0.74
Default,core,4,512,0.62,0.30,0.89
Default,core,4,1024,0.79,0.37,1.13
Default,core,4,2048,1.12,0.55,1.60
Default,core,4,4096,1.74,0.92,2.46
Default,core,4,8192,2.62,1.85,3.59
Default,core,4,16384,5.64,4.59,6.23
Default,core,4,32768,8.73,7.34,9.46
Default,core,4,65536,14.74,12.56,15.75
Default,core,4,131072,27.47,23.79,29.10
Default,core,4,262144,55.65,51.39,57.34
Default,core,4,524288,109.76,103.97,112.03
Default,core,4,1048576,249.83,108.68,330.02
Default,core,6,1,0.50,0.17,0.65
Default,core,6,2,0.48,0.17,0.65
Default,core,6,4,0.48,0.18,0.64
Default,core,6,8,0.49,0.17,0.66
Default,core,6,16,0.49,0.18,0.66
Default,core,6,32,0.58,0.18,0.74
Default,core,6,64,0.54,0.25,0.74
Default,core,6,128,0.80,0.29,0.98
Default,core,6,256,0.85,0.31,1.03
Default,core,6,512,0.92,0.31,1.09
Default,core,6,1024,1.18,0.41,1.43
Default,core,6,2048,1.54,0.89,2.04
Default,core,6,4096,2.33,1.47,3.08
Default,core,6,8192,3.63,1.93,5.25
Default,core,6,16384,6.95,3.90,8.40
Default,core,6,32768,11.98,7.05,13.69
Default,core,6,65536,22.97,17.48,24.97
Default,core,6,131072,45.38,39.98,47.64
Default,core,6,262144,89.37,83.73,91.89
Default,core,6,524288,179.80,174.18,182.58
Default,core,6,1048576,441.55,124.63,657.92
Default,core,8,1,0.67,0.43,1.00
Default,core,8,2,0.66,0.42,0.99
Default,core,8,4,0.65,0.42,0.96
Default,core,8,8,0.68,0.31,0.88
Default,core,8,16,0.69,0.31,0.90
Default,core,8,32,0.84,0.33,1.15
Default,core,8,64,0.82,0.50,1.23
Default,core,8,128,1.16,0.77,1.62
Default,core,8,256,1.17,0.76,1.62
Default,core,8,512,1.26,0.87,1.77
Default,core,8,1024,1.54,1.04,2.15
Default,core,8,2048,2.11,1.44,2.95
