Algorithm,Allocation,Processes,MessageSize,Latency,MinLatency,MaxLatency
Linear,core,2,1,0.19,0.10,0.29
Linear,core,2,2,0.20,0.11,0.29
Linear,core,2,4,0.19,0.10,0.28
Linear,core,2,8,0.19,0.10,0.28
Linear,core,2,16,0.19,0.10,0.28
Linear,core,2,32,0.23,0.10,0.35
Linear,core,2,64,0.24,0.11,0.37
Linear,core,2,128,0.31,0.14,0.47
Linear,core,2,256,0.31,0.15,0.47
Linear,core,2,512,0.35,0.16,0.55
Linear,core,2,1024,0.41,0.19,0.63
Linear,core,2,2048,0.55,0.21,0.89
Linear,core,2,4096,0.83,0.37,1.29
Linear,core,2,8192,1.33,0.65,2.01
Linear,core,2,16384,3.02,2.96,3.08
Linear,core,2,32768,5.22,5.11,5.32
Linear,core,2,65536,6.84,6.74,6.93
Linear,core,2,131072,10.23,10.12,10.34
Linear,core,2,262144,16.48,16.41,16.55
Linear,core,2,524288,31.61,31.53,31.68
Linear,core,2,1048576,67.24,67.23,67.26
Linear,core,4,1,0.32,0.19,0.41
Linear,core,4,2,0.32,0.19,0.40
Linear,core,4,4,0.32,0.18,0.39
Linear,core,4,8,0.32,0.19,0.40
Linear,core,4,16,0.32,0.19,0.40
Linear,core,4,32,0.40,0.20,0.54
Linear,core,4,64,0.38,0.19,0.51
Linear,core,4,128,0.52,0.28,0.71
Linear,core,4,256,0.55,0.31,0.71
Linear,core,4,512,0.62,0.31,0.87
Linear,core,4,1024,0.82,0.41,1.16
Linear,core,4,2048,1.14,0.54,1.65
Linear,core,4,4096,1.75,0.91,2.48
Linear,core,4,8192,2.78,1.55,3.92
Linear,core,4,16384,6.68,4.11,9.02
Linear,core,4,32768,10.92,6.65,14.73
Linear,core,4,65536,16.54,9.83,22.11
Linear,core,4,131072,28.08,16.50,37.18
Linear,core,4,262144,50.36,29.36,66.30
Linear,core,4,524288,95.42,56.96,124.94
Linear,core,4,1048576,190.52,117.00,248.33
Linear,core,6,1,0.46,0.22,0.70
Linear,core,6,2,0.45,0.22,0.69
Linear,core,6,4,0.44,0.22,0.68
Linear,core,6,8,0.44,0.22,0.68
Linear,core,6,16,0.44,0.22,0.67
Linear,core,6,32,0.53,0.23,0.78
Linear,core,6,64,0.55,0.25,0.79
Linear,core,6,128,0.77,0.45,1.04
Linear,core,6,256,0.81,0.48,1.07
Linear,core,6,512,0.87,0.46,1.15
Linear,core,6,1024,1.14,0.63,1.45
Linear,core,6,2048,1.58,0.89,2.09
Linear,core,6,4096,2.49,1.52,3.25
Linear,core,6,8192,3.77,2.48,4.98
Linear,core,6,16384,8.83,5.59,11.94
Linear,core,6,32768,15.38,9.19,20.69
Linear,core,6,65536,27.51,17.41,36.43
Linear,core,6,131072,51.67,33.19,68.03
Linear,core,6,262144,98.47,64.39,128.29
Linear,core,6,524288,190.20,126.39,246.70
Linear,core,6,1048576,340.99,236.88,439.30
Linear,core,8,1,0.71,0.34,1.08
Linear,core,8,2,0.70,0.34,1.06
Linear,core,8,4,0.69,0.35,1.04
Linear,core,8,8,0.69,0.34,1.04
Linear,core,8,16,0.69,0.33,1.07
Linear,core,8,32,0.81,0.39,1.27
Linear,core,8,64,0.82,0.39,1.27
Linear,core,8,128,1.14,0.69,1.60
Linear,core,8,256,1.16,0.71,1.63
Linear,core,8,512,1.26,0.73,1.81
Linear,core,8,1024,1.53,0.88,2.17
Linear,core,8,2048,2.02,1.14,2.88
Linear,core,8,4096,2.93,1.70,4.10
Linear,core,8,8192,4.39,2.63,6.11
Linear,core,8,16384,10.90,5.88,15.49
Linear,core,8,32768,17.98,10.07,24.95
Linear,core,8,65536,32.54,17.64,45.08
Linear,core,8,131072,60.63,33.01,83.88
Linear,core,8,262144,119.97,65.23,165.90
Linear,core,8,524288,233.95,129.90,322.20
Linear,core,8,1048576,415.03,190.13,588.73
Linear,core,10,1,0.82,0.35,1.13
Linear,core,10,2,0.82,0.36,1.13
Linear,core,10,4,0.82,0.35,1.12
