Algorithm,Allocation,Processes,MessageSize,Latency
Pipeline,core,2,1,0.21
Pipeline,core,2,2,0.23
Pipeline,core,2,4,0.21
Pipeline,core,2,8,0.21
Pipeline,core,2,16,0.21
Pipeline,core,2,32,0.26
Pipeline,core,2,64,0.25
Pipeline,core,2,128,0.34
Pipeline,core,2,256,0.35
Pipeline,core,2,512,0.37
Pipeline,core,2,1024,0.45
Pipeline,core,2,2048,0.57
Pipeline,core,2,4096,0.86
Pipeline,core,2,8192,1.37
Pipeline,core,2,16384,3.04
Pipeline,core,2,32768,5.2
Pipeline,core,2,65536,6.65
Pipeline,core,2,131072,9.64
Pipeline,core,2,262144,15.93
Pipeline,core,2,524288,28.96
Pipeline,core,2,1048576,61.2
Pipeline,core,3,1,0.55
Pipeline,core,3,2,0.54
Pipeline,core,3,4,0.54
Pipeline,core,3,8,0.54
Pipeline,core,3,16,0.54
Pipeline,core,3,32,0.59
Pipeline,core,3,64,0.58
Pipeline,core,3,128,0.7
Pipeline,core,3,256,0.74
Pipeline,core,3,512,0.8
Pipeline,core,3,1024,0.98
Pipeline,core,3,2048,1.21
Pipeline,core,3,4096,1.69
Pipeline,core,3,8192,2.63
Pipeline,core,3,16384,7.32
Pipeline,core,3,32768,12.04
Pipeline,core,3,65536,16.71
Pipeline,core,3,131072,25.72
Pipeline,core,3,262144,43.47
Pipeline,core,3,524288,78.47
Pipeline,core,3,1048576,154.79
Pipeline,core,4,1,0.46
Pipeline,core,4,2,0.46
Pipeline,core,4,4,0.46
Pipeline,core,4,8,0.46
Pipeline,core,4,16,0.45
Pipeline,core,4,32,0.53
Pipeline,core,4,64,0.54
Pipeline,core,4,128,0.7
Pipeline,core,4,256,0.74
Pipeline,core,4,512,0.84
Pipeline,core,4,1024,1.03
Pipeline,core,4,2048,1.47
Pipeline,core,4,4096,2.16
Pipeline,core,4,8192,3.51
Pipeline,core,4,16384,10.51
Pipeline,core,4,32768,17.68
Pipeline,core,4,65536,24.97
Pipeline,core,4,131072,39.59
Pipeline,core,4,262144,68.58
Pipeline,core,4,524288,125.26
Pipeline,core,4,1048576,246.71
Pipeline,core,5,1,0.62
Pipeline,core,5,2,0.63
Pipeline,core,5,4,0.64
Pipeline,core,5,8,0.64
Pipeline,core,5,16,0.63
Pipeline,core,5,32,0.75
Pipeline,core,5,64,0.75
Pipeline,core,5,128,0.96
Pipeline,core,5,256,1.0
Pipeline,core,5,512,1.14
Pipeline,core,5,1024,1.38
Pipeline,core,5,2048,1.88
Pipeline,core,5,4096,2.76
Pipeline,core,5,8192,4.62
Pipeline,core,5,16384,12.56
Pipeline,core,5,32768,17.77
Pipeline,core,5,65536,27.96
Pipeline,core,5,131072,48.73
Pipeline,core,5,262144,90.2
Pipeline,core,5,524288,173.61
Pipeline,core,5,1048576,349.47
Pipeline,core,6,1,0.81
Pipeline,core,6,2,0.8
Pipeline,core,6,4,0.79
Pipeline,core,6,8,0.79
Pipeline,core,6,16,0.79
Pipeline,core,6,32,0.94
Pipeline,core,6,64,0.94
Pipeline,core,6,128,1.22
Pipeline,core,6,256,1.28
Pipeline,core,6,512,1.42
Pipeline,core,6,1024,1.7
Pipeline,core,6,2048,2.32
Pipeline,core,6,4096,3.42
Pipeline,core,6,8192,5.57
Pipeline,core,6,16384,15.37
Pipeline,core,6,32768,21.79
Pipeline,core,6,65536,33.8
Pipeline,core,6,131072,59.05
Pipeline,core,6,262144,108.56
Pipeline,core,6,524288,209.95
Pipeline,core,6,1048576,423.96
Pipeline,core,7,1,1.0
Pipeline,core,7,2,0.99
Pipeline,core,7,4,0.99
Pipeline,core,7,8,0.99
Pipeline,core,7,16,0.99
Pipeline,core,7,32,1.18
Pipeline,core,7,64,1.18
Pipeline,core,7,128,1.52
Pipeline,core,7,256,1.59
Pipeline,core,7,512,1.72
Pipeline,core,7,1024,2.08
Pipeline,core,7,2048,2.79
Pipeline,core,7,4096,4.39
Pipeline,core,7,8192,6.89
Pipeline,core,7,16384,18.02
Pipeline,core,7,32768,25.44
Pipeline,core,7,65536,39.66
Pipeline,core,7,131072,69.13
Pipeline,core,7,262144,127.26
Pipeline,core,7,524288,245.47
Pipeline,core,7,1048576,493.68
Pipeline,core,8,1,1.26
Pipeline,core,8,2,1.26
Pipeline,core,8,4,1.27
Pipeline,core,8,8,1.24
Pipeline,core,8,16,1.25
Pipeline,core,8,32,1.49
Pipeline,core,8,64,1.49
Pipeline,core,8,128,2.0
Pipeline,core,8,256,2.09
Pipeline,core,8,512,2.23
Pipeline,core,8,1024,2.69
Pipeline,core,8,2048,3.84
Pipeline,core,8,4096,5.38
Pipeline,core,8,8192,8.29
Pipeline,core,8,16384,21.11
Pipeline,core,8,32768,29.64
Pipeline,core,8,65536,46.26
Pipeline,core,8,131072,80.13
Pipeline,core,8,262144,144.71
Pipeline,core,8,524288,280.5
Pipeline,core,8,1048576,557.98
Pipeline,core,9,1,1.53
Pipeline,core,9,2,1.51
Pipeline,core,9,4,1.51
Pipeline,core,9,8,1.52
Pipeline,core,9,16,1.52
Pipeline,core,9,32,1.74
Pipeline,core,9,64,1.77
Pipeline,core,9,128,2.27
Pipeline,core,9,256,2.37
Pipeline,core,9,512,2.63
Pipeline,core,9,1024,2.96
Pipeline,core,9,2048,3.83
Pipeline,core,9,4096,5.88
Pipeline,core,9,8192,9.13
Pipeline,core,9,16384,23.33
Pipeline,core,9,32768,33.38
Pipeline,core,9,65536,52.19
Pipeline,core,9,131072,90.59
Pipeline,core,9,262144,166.59
Pipeline,core,9,524288,316.15
Pipeline,core,9,1048576,622.45
Pipeline,core,10,1,1.63
Pipeline,core,10,2,1.62
Pipeline,core,10,4,1.61
Pipeline,core,10,8,1.62
Pipeline,core,10,16,1.62
Pipeline,core,10,32,1.94
Pipeline,core,10,64,1.94
Pipeline,core,10,128,2.49
Pipeline,core,10,256,2.61
Pipeline,core,10,512,3.11
Pipeline,core,10,1024,3.33
Pipeline,core,10,2048,4.36
Pipeline,core,10,4096,6.72
Pipeline,core,10,8192,10.48
Pipeline,core,10,16384,25.79
Pipeline,core,10,32768,36.26
Pipeline,core,10,65536,57.5
Pipeline,core,10,131072,100.4
Pipeline,core,10,262144,184.03
Pipeline,core,10,524288,351.71
Pipeline,core,10,1048576,699.25
Pipeline,core,11,1,1.71
Pipeline,core,11,2,1.71
Pipeline,core,11,4,1.72
Pipeline,core,11,8,1.71
Pipeline,core,11,16,1.7
Pipeline,core,11,32,2.01
Pipeline,core,11,64,1.96
Pipeline,core,11,128,2.65
Pipeline,core,11,256,3.23
Pipeline,core,11,512,3.0
Pipeline,core,11,1024,3.55
Pipeline,core,11,2048,4.66
Pipeline,core,11,4096,7.26
Pipeline,core,11,8192,11.27
Pipeline,core,11,16384,28.45
Pipeline,core,11,32768,40.04
Pipeline,core,11,65536,63.06
Pipeline,core,11,131072,110.02
Pipeline,core,11,262144,202.36
Pipeline,core,11,524288,387.09
Pipeline,core,11,1048576,762.18
Pipeline,core,12,1,1.94
Pipeline,core,12,2,1.93
Pipeline,core,12,4,1.93
Pipeline,core,12,8,1.94
Pipeline,core,12,16,1.92
Pipeline,core,12,32,2.35
Pipeline,core,12,64,2.3
Pipeline,core,12,128,3.35
Pipeline,core,12,256,3.11
Pipeline,core,12,512,3.31
Pipeline,core,12,1024,3.94
Pipeline,core,12,2048,5.21
Pipeline,core,12,4096,8.0
Pipeline,core,12,8192,12.4
Pipeline,core,12,16384,30.86
Pipeline,core,12,32768,43.98
Pipeline,core,12,65536,69.0
Pipeline,core,12,131072,122.92
Pipeline,core,12,262144,226.27
Pipeline,core,12,524288,437.45
Pipeline,core,12,1048576,883.07
Pipeline,core,13,1,1.87
Pipeline,core,13,2,1.84
Pipeline,core,13,4,1.84
Pipeline,core,13,8,1.84
Pipeline,core,13,16,1.84
Pipeline,core,13,32,2.25
Pipeline,core,13,64,2.59
Pipeline,core,13,128,2.98
Pipeline,core,13,256,3.11
Pipeline,core,13,512,3.37
Pipeline,core,13,1024,4.11
Pipeline,core,13,2048,5.59
Pipeline,core,13,4096,8.8
Pipeline,core,13,8192,13.79
Pipeline,core,13,16384,33.73
Pipeline,core,13,32768,48.29
Pipeline,core,13,65536,78.17
Pipeline,core,13,131072,139.83
Pipeline,core,13,262144,261.3
Pipeline,core,13,524288,496.62
Pipeline,core,13,1048576,993.63
Pipeline,core,14,1,2.06
Pipeline,core,14,2,2.08
Pipeline,core,14,4,2.05
Pipeline,core,14,8,2.04
Pipeline,core,14,16,2.04
Pipeline,core,14,32,3.06
Pipeline,core,14,64,2.65
Pipeline,core,14,128,3.46
Pipeline,core,14,256,3.53
Pipeline,core,14,512,3.81
Pipeline,core,14,1024,4.59
Pipeline,core,14,2048,6.14
Pipeline,core,14,4096,9.52
Pipeline,core,14,8192,14.86
Pipeline,core,14,16384,36.7
Pipeline,core,14,32768,52.62
Pipeline,core,14,65536,85.8
Pipeline,core,14,131072,151.78
Pipeline,core,14,262144,282.37
Pipeline,core,14,524288,540.46
Pipeline,core,14,1048576,1080.06
Pipeline,core,15,1,2.28
Pipeline,core,15,2,2.22
Pipeline,core,15,4,2.2
Pipeline,core,15,8,2.21
Pipeline,core,15,16,2.22
Pipeline,core,15,32,3.34
Pipeline,core,15,64,2.69
Pipeline,core,15,128,3.62
Pipeline,core,15,256,3.69
Pipeline,core,15,512,4.01
Pipeline,core,15,1024,4.91
Pipeline,core,15,2048,6.56
Pipeline,core,15,4096,10.17
Pipeline,core,15,8192,15.92
Pipeline,core,15,16384,39.71
Pipeline,core,15,32768,58.43
Pipeline,core,15,65536,94.69
Pipeline,core,15,131072,164.93
Pipeline,core,15,262144,305.72
Pipeline,core,15,524288,583.01
Pipeline,core,15,1048576,1169.57
Pipeline,core,16,1,3.21
Pipeline,core,16,2,3.17
Pipeline,core,16,4,3.18
Pipeline,core,16,8,3.14
Pipeline,core,16,16,3.68
Pipeline,core,16,32,4.06
Pipeline,core,16,64,3.74
Pipeline,core,16,128,4.72
Pipeline,core,16,256,4.85
Pipeline,core,16,512,5.17
Pipeline,core,16,1024,5.98
Pipeline,core,16,2048,7.72
Pipeline,core,16,4096,11.57
Pipeline,core,16,8192,17.54
Pipeline,core,16,16384,45.1
Pipeline,core,16,32768,64.39
Pipeline,core,16,65536,102.07
Pipeline,core,16,131072,179.68
Pipeline,core,16,262144,332.8
Pipeline,core,16,524288,629.82
Pipeline,core,16,1048576,1255.16
Pipeline,core,17,1,3.64
Pipeline,core,17,2,3.63
Pipeline,core,17,4,3.63
Pipeline,core,17,8,3.61
Pipeline,core,17,16,4.52
Pipeline,core,17,32,4.2
Pipeline,core,17,64,4.2
Pipeline,core,17,128,5.25
Pipeline,core,17,256,5.41
Pipeline,core,17,512,5.75
Pipeline,core,17,1024,6.7
Pipeline,core,17,2048,8.49
Pipeline,core,17,4096,12.51
Pipeline,core,17,8192,19.05
Pipeline,core,17,16384,47.08
Pipeline,core,17,32768,67.24
Pipeline,core,17,65536,106.43
Pipeline,core,17,131072,189.68
Pipeline,core,17,262144,365.88
Pipeline,core,17,524288,666.12
Pipeline,core,17,1048576,1324.58
Pipeline,core,18,1,3.89
Pipeline,core,18,2,3.88
Pipeline,core,18,4,3.87
Pipeline,core,18,8,3.91
Pipeline,core,18,16,4.69
Pipeline,core,18,32,4.49
Pipeline,core,18,64,4.41
Pipeline,core,18,128,5.67
Pipeline,core,18,256,5.79
Pipeline,core,18,512,6.19
Pipeline,core,18,1024,7.21
Pipeline,core,18,2048,9.18
Pipeline,core,18,4096,13.55
Pipeline,core,18,8192,20.53
Pipeline,core,18,16384,50.06
Pipeline,core,18,32768,71.54
Pipeline,core,18,65536,113.36
Pipeline,core,18,131072,201.76
Pipeline,core,18,262144,373.34
Pipeline,core,18,524288,702.3
Pipeline,core,18,1048576,1401.78
Pipeline,core,19,1,4.16
Pipeline,core,19,2,4.16
Pipeline,core,19,4,4.11
Pipeline,core,19,8,4.82
Pipeline,core,19,16,4.19
Pipeline,core,19,32,4.78
Pipeline,core,19,64,4.74
Pipeline,core,19,128,5.98
Pipeline,core,19,256,6.1
Pipeline,core,19,512,6.49
Pipeline,core,19,1024,7.61
Pipeline,core,19,2048,9.69
Pipeline,core,19,4096,14.38
Pipeline,core,19,8192,21.92
Pipeline,core,19,16384,52.55
Pipeline,core,19,32768,74.51
Pipeline,core,19,65536,118.31
Pipeline,core,19,131072,211.63
Pipeline,core,19,262144,389.96
Pipeline,core,19,524288,737.36
Pipeline,core,19,1048576,1469.48
Pipeline,core,20,1,4.45
Pipeline,core,20,2,4.41
Pipeline,core,20,4,4.39
Pipeline,core,20,8,5.11
Pipeline,core,20,16,4.39
Pipeline,core,20,32,5.21
Pipeline,core,20,64,5.13
Pipeline,core,20,128,6.49
Pipeline,core,20,256,6.63
Pipeline,core,20,512,7.0
Pipeline,core,20,1024,8.19
Pipeline,core,20,2048,10.36
Pipeline,core,20,4096,15.21
Pipeline,core,20,8192,23.29
Pipeline,core,20,16384,55.66
Pipeline,core,20,32768,79.77
Pipeline,core,20,65536,125.17
Pipeline,core,20,131072,223.31
Pipeline,core,20,262144,409.71
Pipeline,core,20,524288,773.47
Pipeline,core,20,1048576,1544.85
Pipeline,core,21,1,4.6
Pipeline,core,21,2,4.53
Pipeline,core,21,4,4.54
Pipeline,core,21,8,5.13
Pipeline,core,21,16,4.53
Pipeline,core,21,32,5.3
Pipeline,core,21,64,5.32
Pipeline,core,21,128,6.64
Pipeline,core,21,256,6.76
Pipeline,core,21,512,7.25
Pipeline,core,21,1024,8.49
Pipeline,core,21,2048,10.75
Pipeline,core,21,4096,15.89
Pipeline,core,21,8192,24.44
Pipeline,core,21,16384,57.8
Pipeline,core,21,32768,82.88
Pipeline,core,21,65536,129.92
Pipeline,core,21,131072,232.05
Pipeline,core,21,262144,427.52
Pipeline,core,21,524288,809.33
Pipeline,core,21,1048576,1620.14
Pipeline,core,22,1,4.8
Pipeline,core,22,2,4.77
Pipeline,core,22,4,4.79
Pipeline,core,22,8,5.64
Pipeline,core,22,16,4.8
Pipeline,core,22,32,5.68
Pipeline,core,22,64,5.64
Pipeline,core,22,128,7.09
Pipeline,core,22,256,7.18
Pipeline,core,22,512,7.64
Pipeline,core,22,1024,9.28
Pipeline,core,22,2048,11.46
Pipeline,core,22,4096,16.78
Pipeline,core,22,8192,26.23
Pipeline,core,22,16384,60.28
Pipeline,core,22,32768,86.69
Pipeline,core,22,65536,141.09
Pipeline,core,22,131072,243.53
Pipeline,core,22,262144,458.64
Pipeline,core,22,524288,843.84
Pipeline,core,22,1048576,1687.4
Pipeline,core,23,1,5.06
Pipeline,core,23,2,5.06
Pipeline,core,23,4,5.04
Pipeline,core,23,8,6.05
Pipeline,core,23,16,5.06
Pipeline,core,23,32,5.95
Pipeline,core,23,64,5.98
Pipeline,core,23,128,7.42
Pipeline,core,23,256,7.63
Pipeline,core,23,512,8.07
Pipeline,core,23,1024,9.53
Pipeline,core,23,2048,12.04
Pipeline,core,23,4096,17.7
Pipeline,core,23,8192,26.78
Pipeline,core,23,16384,63.18
Pipeline,core,23,32768,89.9
Pipeline,core,23,65536,143.42
Pipeline,core,23,131072,252.91
Pipeline,core,23,262144,469.5
Pipeline,core,23,524288,879.42
Pipeline,core,23,1048576,1788.1
Pipeline,core,24,1,5.42
Pipeline,core,24,2,5.42
Pipeline,core,24,4,5.38
Pipeline,core,24,8,6.32
Pipeline,core,24,16,5.4
Pipeline,core,24,32,6.4
Pipeline,core,24,64,6.36
Pipeline,core,24,128,7.92
Pipeline,core,24,256,8.14
Pipeline,core,24,512,8.6
Pipeline,core,24,1024,10.04
Pipeline,core,24,2048,12.64
Pipeline,core,24,4096,18.69
Pipeline,core,24,8192,27.92
Pipeline,core,24,16384,66.6
Pipeline,core,24,32768,94.39
Pipeline,core,24,65536,150.17
Pipeline,core,24,131072,265.44
Pipeline,core,24,262144,484.41
Pipeline,core,24,524288,920.96
Pipeline,core,24,1048576,1847.52
Pipeline,core,25,1,5.06
Pipeline,core,25,2,5.03
Pipeline,core,25,4,5.77
Pipeline,core,25,8,5.14
Pipeline,core,25,16,5.04
Pipeline,core,25,32,6.14
Pipeline,core,25,64,6.12
Pipeline,core,25,128,7.67
Pipeline,core,25,256,7.91
Pipeline,core,25,512,8.47
Pipeline,core,25,1024,9.97
Pipeline,core,25,2048,12.86
Pipeline,core,25,4096,19.11
Pipeline,core,25,8192,29.06
Pipeline,core,25,16384,68.37
Pipeline,core,25,32768,97.45
Pipeline,core,25,65536,155.71
Pipeline,core,25,131072,274.11
