Algorithm,Allocation,Processes,MessageSize,Latency
Pipeline,socket,2,1,0.51
Pipeline,socket,2,2,0.47
Pipeline,socket,2,4,0.44
Pipeline,socket,2,8,0.41
Pipeline,socket,2,16,0.39
Pipeline,socket,2,32,0.56
Pipeline,socket,2,64,0.50
Pipeline,socket,2,128,0.78
Pipeline,socket,2,256,0.79
Pipeline,socket,2,512,0.91
Pipeline,socket,2,1024,1.04
Pipeline,socket,2,2048,1.42
Pipeline,socket,2,4096,2.20
Pipeline,socket,2,8192,3.52
Pipeline,socket,2,16384,3.68
Pipeline,socket,2,32768,5.99
Pipeline,socket,2,65536,7.47
Pipeline,socket,2,131072,10.52
Pipeline,socket,2,262144,16.17
Pipeline,socket,2,524288,29.29
Pipeline,socket,2,1048576,61.32
Pipeline,socket,3,1,0.82
Pipeline,socket,3,2,0.78
Pipeline,socket,3,4,0.78
Pipeline,socket,3,8,0.78
Pipeline,socket,3,16,0.78
Pipeline,socket,3,32,0.97
Pipeline,socket,3,64,0.98
Pipeline,socket,3,128,1.45
Pipeline,socket,3,256,1.50
Pipeline,socket,3,512,1.69
Pipeline,socket,3,1024,2.12
Pipeline,socket,3,2048,2.77
Pipeline,socket,3,4096,4.18
Pipeline,socket,3,8192,6.28
Pipeline,socket,3,16384,11.65
Pipeline,socket,3,32768,18.50
Pipeline,socket,3,65536,28.34
Pipeline,socket,3,131072,48.12
Pipeline,socket,3,262144,86.34
Pipeline,socket,3,524288,156.45
Pipeline,socket,3,1048576,307.53
Pipeline,socket,4,1,0.86
Pipeline,socket,4,2,0.82
Pipeline,socket,4,4,0.81
Pipeline,socket,4,8,0.81
Pipeline,socket,4,16,0.81
Pipeline,socket,4,32,1.24
Pipeline,socket,4,64,1.22
Pipeline,socket,4,128,1.82
Pipeline,socket,4,256,1.86
Pipeline,socket,4,512,2.16
Pipeline,socket,4,1024,2.73
Pipeline,socket,4,2048,3.83
Pipeline,socket,4,4096,5.43
Pipeline,socket,4,8192,8.58
Pipeline,socket,4,16384,16.81
Pipeline,socket,4,32768,27.55
Pipeline,socket,4,65536,42.92
Pipeline,socket,4,131072,74.57
Pipeline,socket,4,262144,136.88
Pipeline,socket,4,524288,252.12
Pipeline,socket,4,1048576,498.10
Pipeline,socket,5,1,1.16
Pipeline,socket,5,2,1.13
Pipeline,socket,5,4,1.13
Pipeline,socket,5,8,1.12
Pipeline,socket,5,16,1.12
Pipeline,socket,5,32,1.76
Pipeline,socket,5,64,1.58
Pipeline,socket,5,128,2.44
Pipeline,socket,5,256,2.53
Pipeline,socket,5,512,3.01
Pipeline,socket,5,1024,3.45
Pipeline,socket,5,2048,4.63
Pipeline,socket,5,4096,6.95
Pipeline,socket,5,8192,10.85
Pipeline,socket,5,16384,20.91
Pipeline,socket,5,32768,33.16
Pipeline,socket,5,65536,61.26
Pipeline,socket,5,131072,120.22
Pipeline,socket,5,262144,223.12
Pipeline,socket,5,524288,462.32
Pipeline,socket,5,1048576,777.18
Pipeline,socket,6,1,1.49
Pipeline,socket,6,2,1.46
Pipeline,socket,6,4,1.44
Pipeline,socket,6,8,1.45
Pipeline,socket,6,16,1.44
Pipeline,socket,6,32,2.33
Pipeline,socket,6,64,1.98
Pipeline,socket,6,128,3.12
Pipeline,socket,6,256,3.42
Pipeline,socket,6,512,3.70
Pipeline,socket,6,1024,4.27
Pipeline,socket,6,2048,5.74
Pipeline,socket,6,4096,8.46
Pipeline,socket,6,8192,13.27
Pipeline,socket,6,16384,25.66
Pipeline,socket,6,32768,40.47
Pipeline,socket,6,65536,68.06
Pipeline,socket,6,131072,133.18
Pipeline,socket,6,262144,242.73
Pipeline,socket,6,524288,462.02
Pipeline,socket,6,1048576,944.11
Pipeline,socket,7,1,1.75
Pipeline,socket,7,2,1.73
Pipeline,socket,7,4,1.71
Pipeline,socket,7,8,1.71
Pipeline,socket,7,16,1.70
Pipeline,socket,7,32,2.41
Pipeline,socket,7,64,2.35
Pipeline,socket,7,128,4.01
Pipeline,socket,7,256,3.81
Pipeline,socket,7,512,4.36
Pipeline,socket,7,1024,5.14
Pipeline,socket,7,2048,6.88
Pipeline,socket,7,4096,10.02
Pipeline,socket,7,8192,15.56
Pipeline,socket,7,16384,29.94
Pipeline,socket,7,32768,49.37
Pipeline,socket,7,65536,84.50
Pipeline,socket,7,131072,156.69
Pipeline,socket,7,262144,284.85
Pipeline,socket,7,524288,570.24
Pipeline,socket,7,1048576,1096.15
Pipeline,socket,8,1,2.70
Pipeline,socket,8,2,2.28
Pipeline,socket,8,4,2.22
Pipeline,socket,8,8,2.22
Pipeline,socket,8,16,2.22
Pipeline,socket,8,32,3.36
Pipeline,socket,8,64,3.41
Pipeline,socket,8,128,4.69
Pipeline,socket,8,256,4.61
Pipeline,socket,8,512,5.26
Pipeline,socket,8,1024,6.10
Pipeline,socket,8,2048,8.09
Pipeline,socket,8,4096,11.48
Pipeline,socket,8,8192,18.11
Pipeline,socket,8,16384,34.92
Pipeline,socket,8,32768,54.62
Pipeline,socket,8,65536,93.57
Pipeline,socket,8,131072,189.71
Pipeline,socket,8,262144,360.75
Pipeline,socket,8,524288,739.84
Pipeline,socket,8,1048576,1291.17
Pipeline,socket,9,1,2.71
Pipeline,socket,9,2,2.65
Pipeline,socket,9,4,2.66
Pipeline,socket,9,8,2.65
Pipeline,socket,9,16,2.63
Pipeline,socket,9,32,3.92
Pipeline,socket,9,64,3.75
Pipeline,socket,9,128,5.23
Pipeline,socket,9,256,5.33
Pipeline,socket,9,512,5.93
Pipeline,socket,9,1024,6.95
Pipeline,socket,9,2048,9.10
Pipeline,socket,9,4096,13.01
Pipeline,socket,9,8192,20.26
Pipeline,socket,9,16384,40.34
Pipeline,socket,9,32768,64.93
Pipeline,socket,9,65536,108.93
Pipeline,socket,9,131072,199.91
Pipeline,socket,9,262144,371.58
Pipeline,socket,9,524288,722.34
Pipeline,socket,9,1048576,1448.97
Pipeline,socket,10,1,3.15
Pipeline,socket,10,2,3.10
Pipeline,socket,10,4,3.10
Pipeline,socket,10,8,3.11
Pipeline,socket,10,16,3.09
Pipeline,socket,10,32,5.02
Pipeline,socket,10,64,4.08
Pipeline,socket,10,128,6.12
Pipeline,socket,10,256,6.26
Pipeline,socket,10,512,7.09
Pipeline,socket,10,1024,8.27
Pipeline,socket,10,2048,10.71
Pipeline,socket,10,4096,14.84
Pipeline,socket,10,8192,22.98
Pipeline,socket,10,16384,43.21
Pipeline,socket,10,32768,68.04
Pipeline,socket,10,65536,115.60
Pipeline,socket,10,131072,229.64
Pipeline,socket,10,262144,442.96
Pipeline,socket,10,524288,804.57
Pipeline,socket,10,1048576,1549.50
Pipeline,socket,11,1,3.23
Pipeline,socket,11,2,3.10
Pipeline,socket,11,4,3.08
Pipeline,socket,11,8,3.12
Pipeline,socket,11,16,3.17
Pipeline,socket,11,32,5.04
Pipeline,socket,11,64,4.10
Pipeline,socket,11,128,6.38
Pipeline,socket,11,256,6.54
Pipeline,socket,11,512,7.40
Pipeline,socket,11,1024,8.70
Pipeline,socket,11,2048,11.40
Pipeline,socket,11,4096,16.04
Pipeline,socket,11,8192,24.87
Pipeline,socket,11,16384,47.51
Pipeline,socket,11,32768,75.60
Pipeline,socket,11,65536,134.58
Pipeline,socket,11,131072,235.39
Pipeline,socket,11,262144,466.52
Pipeline,socket,11,524288,943.16
Pipeline,socket,11,1048576,1715.62
Pipeline,socket,12,1,3.40
Pipeline,socket,12,2,3.40
Pipeline,socket,12,4,3.38
Pipeline,socket,12,8,3.40
Pipeline,socket,12,16,3.93
Pipeline,socket,12,32,5.05
Pipeline,socket,12,64,4.53
Pipeline,socket,12,128,7.21
Pipeline,socket,12,256,7.42
Pipeline,socket,12,512,8.30
Pipeline,socket,12,1024,9.91
Pipeline,socket,12,2048,12.81
Pipeline,socket,12,4096,17.64
Pipeline,socket,12,8192,27.44
Pipeline,socket,12,16384,51.31
Pipeline,socket,12,32768,81.08
Pipeline,socket,12,65536,137.84
Pipeline,socket,12,131072,257.30
Pipeline,socket,12,262144,520.52
Pipeline,socket,12,524288,1014.90
Pipeline,socket,12,1048576,1866.62
Pipeline,socket,13,1,3.71
Pipeline,socket,13,2,3.58
Pipeline,socket,13,4,3.58
Pipeline,socket,13,8,3.57
Pipeline,socket,13,16,4.05
Pipeline,socket,13,32,5.46
Pipeline,socket,13,64,4.77
Pipeline,socket,13,128,7.56
Pipeline,socket,13,256,7.65
Pipeline,socket,13,512,8.63
Pipeline,socket,13,1024,10.45
Pipeline,socket,13,2048,13.53
Pipeline,socket,13,4096,18.75
Pipeline,socket,13,8192,29.51
Pipeline,socket,13,16384,55.84
Pipeline,socket,13,32768,89.04
Pipeline,socket,13,65536,155.57
Pipeline,socket,13,131072,290.65
Pipeline,socket,13,262144,550.90
