Allocation,Processes,Default_Is_Optimal,Chain_Is_Optimal,Linear_Is_Optimal,Binarytree_Is_Optimal
core,2,13,0,5,3
core,4,5,13,0,3
core,6,2,15,0,4
core,8,1,17,2,1
core,10,6,4,9,2
core,12,7,3,9,2
core,14,3,5,13,0
core,16,3,3,11,4
core,18,8,5,7,1
core,20,6,5,8,2
core,22,8,5,7,1
core,24,8,0,8,5
core,26,8,0,8,5
core,28,9,0,7,5
core,30,8,0,8,5
core,32,10,0,11,0
core,34,8,0,7,6
core,36,14,0,7,0
core,38,11,0,10,0
core,40,13,0,8,0
core,42,13,0,8,0
core,44,17,0,4,0
core,46,14,0,7,0
core,48,11,0,10,0
socket,2,7,4,6,4
socket,4,2,8,5,6
socket,6,2,7,6,6
socket,8,3,1,4,13
socket,10,8,0,7,6
socket,12,9,0,3,9
socket,14,7,0,8,6
socket,16,10,0,7,4
socket,18,12,0,4,5
socket,20,9,0,7,5
socket,22,13,0,4,4
socket,24,14,0,3,4
socket,26,10,0,7,4
socket,28,13,0,4,4
socket,30,17,0,4,0
socket,32,7,0,14,0
socket,34,5,0,16,0
socket,36,5,0,16,0
socket,38,8,0,13,0
socket,40,14,0,7,0
socket,42,13,0,8,0
socket,44,17,0,4,0
socket,46,13,0,8,0
socket,48,19,0,2,0
node,2,6,3,5,7
node,4,7,8,6,0
node,6,7,7,6,1
node,8,6,15,0,0
node,10,16,1,2,2
node,12,15,4,2,0
node,14,14,2,4,1
node,16,14,4,3,0
node,18,14,1,6,0
node,20,14,3,3,1
node,22,15,1,5,0
node,24,19,0,1,1
node,26,19,0,2,0
node,28,19,0,2,0
node,30,18,0,2,1
node,32,9,0,10,2
node,34,1,0,17,3
node,36,7,0,13,1
node,38,2,0,14,5
node,40,3,0,14,4
node,42,8,0,10,3
node,44,3,0,15,3
node,46,7,0,12,2
node,48,5,0,13,3
