Core 1,Core 2,Message Size,Latency
0,0,1,3967.28
0,0,2,3949.78
0,0,4,4109.33
0,0,8,4046.33
0,0,16,4060.73
0,0,32,4134.48
0,0,64,4130.68
0,0,128,4017.03
0,0,256,4092.43
0,0,512,3950.83
0,0,1024,4080.28
0,0,2048,4066.48
0,0,4096,4103.63
0,0,8192,4039.93
0,0,16384,3934.47
0,0,32768,3933.98
0,0,65536,4181.0
0,0,131072,4290.98
0,0,262144,4007.48
0,0,524288,4258.97
0,0,1048576,4092.95
0,1,1,0.2
0,1,2,0.19
0,1,4,0.19
0,1,8,0.19
0,1,16,0.19
0,1,32,0.23
0,1,64,0.23
0,1,128,0.34
0,1,256,0.38
0,1,512,0.45
0,1,1024,0.55
0,1,2048,0.76
0,1,4096,1.22
0,1,8192,2.05
0,1,16384,3.18
0,1,32768,5.16
0,1,65536,8.72
0,1,131072,15.63
0,1,262144,17.41
0,1,524288,32.69
0,1,1048576,67.77
0,2,1,0.22
0,2,2,0.2
0,2,4,0.2
0,2,8,0.2
0,2,16,0.19
0,2,32,0.24
0,2,64,0.23
0,2,128,0.32
0,2,256,0.37
0,2,512,0.44
0,2,1024,0.54
0,2,2048,0.75
0,2,4096,1.2
0,2,8192,2.04
0,2,16384,3.17
0,2,32768,5.01
0,2,65536,8.45
0,2,131072,15.12
0,2,262144,17.32
0,2,524288,32.38
0,2,1048576,68.13
0,3,1,0.19
0,3,2,0.19
0,3,4,0.19
0,3,8,0.19
0,3,16,0.19
0,3,32,0.24
0,3,64,0.23
0,3,128,0.34
0,3,256,0.38
0,3,512,0.45
0,3,1024,0.55
0,3,2048,0.76
0,3,4096,1.21
0,3,8192,2.05
0,3,16384,3.16
0,3,32768,5.02
0,3,65536,8.54
0,3,131072,15.24
0,3,262144,17.42
0,3,524288,32.72
0,3,1048576,68.39
0,4,1,0.24
0,4,2,0.24
0,4,4,0.23
0,4,8,0.23
0,4,16,0.22
0,4,32,0.26
0,4,64,0.24
0,4,128,0.34
0,4,256,0.38
0,4,512,0.44
0,4,1024,0.54
0,4,2048,0.75
0,4,4096,1.2
0,4,8192,2.04
0,4,16384,3.14
0,4,32768,4.97
0,4,65536,8.42
0,4,131072,15.0
0,4,262144,17.27
0,4,524288,32.34
0,4,1048576,68.68
0,5,1,0.22
0,5,2,0.21
0,5,4,0.2
0,5,8,0.2
0,5,16,0.19
0,5,32,0.24
0,5,64,0.23
0,5,128,0.33
0,5,256,0.36
0,5,512,0.44
0,5,1024,0.54
0,5,2048,0.75
0,5,4096,1.2
0,5,8192,2.04
0,5,16384,3.18
0,5,32768,5.07
0,5,65536,8.65
0,5,131072,15.44
0,5,262144,17.03
0,5,524288,32.28
0,5,1048576,72.51
0,6,1,0.21
0,6,2,0.2
0,6,4,0.2
0,6,8,0.2
0,6,16,0.19
0,6,32,0.23
0,6,64,0.23
0,6,128,0.34
0,6,256,0.39
0,6,512,0.45
0,6,1024,0.55
0,6,2048,0.76
0,6,4096,1.21
0,6,8192,2.04
0,6,16384,3.15
0,6,32768,5.0
0,6,65536,8.46
0,6,131072,15.21
0,6,262144,17.5
0,6,524288,32.93
0,6,1048576,70.59
0,7,1,0.2
0,7,2,0.2
0,7,4,0.2
0,7,8,0.2
0,7,16,0.2
0,7,32,0.25
0,7,64,0.24
0,7,128,0.34
0,7,256,0.39
0,7,512,0.45
0,7,1024,0.55
0,7,2048,0.76
0,7,4096,1.21
0,7,8192,2.05
0,7,16384,3.18
0,7,32768,5.0
0,7,65536,8.47
0,7,131072,15.17
0,7,262144,17.32
0,7,524288,32.57
0,7,1048576,69.24
0,8,1,0.21
0,8,2,0.21
0,8,4,0.2
0,8,8,0.2
0,8,16,0.2
0,8,32,0.24
0,8,64,0.23
0,8,128,0.33
0,8,256,0.37
0,8,512,0.45
0,8,1024,0.54
0,8,2048,0.76
0,8,4096,1.21
0,8,8192,2.03
0,8,16384,3.18
0,8,32768,5.02
0,8,65536,8.53
0,8,131072,15.24
0,8,262144,17.31
0,8,524288,32.75
0,8,1048576,67.76
0,9,1,0.25
0,9,2,0.23
0,9,4,0.23
0,9,8,0.22
0,9,16,0.21
0,9,32,0.25
0,9,64,0.24
0,9,128,0.34
0,9,256,0.36
0,9,512,0.44
0,9,1024,0.55
0,9,2048,0.76
0,9,4096,1.2
0,9,8192,2.05
0,9,16384,3.17
0,9,32768,4.98
0,9,65536,8.44
0,9,131072,15.08
0,9,262144,17.34
0,9,524288,32.54
0,9,1048576,69.4
0,10,1,0.2
0,10,2,0.19
0,10,4,0.19
0,10,8,0.19
0,10,16,0.19
0,10,32,0.24
0,10,64,0.23
0,10,128,0.33
0,10,256,0.36
0,10,512,0.44
0,10,1024,0.55
0,10,2048,0.76
0,10,4096,1.21
0,10,8192,2.06
0,10,16384,3.22
0,10,32768,5.08
0,10,65536,8.67
0,10,131072,15.5
0,10,262144,17.15
0,10,524288,32.17
0,10,1048576,67.04
0,11,1,0.19
0,11,2,0.19
0,11,4,0.19
0,11,8,0.19
0,11,16,0.19
0,11,32,0.23
0,11,64,0.22
0,11,128,0.32
0,11,256,0.36
