Algorithm,Allocation,Processes,MessageSize,Latency
Basic_Linear,core,2,1,0.22
Basic_Linear,core,2,2,0.21
Basic_Linear,core,2,4,0.21
Basic_Linear,core,2,8,0.20
Basic_Linear,core,2,16,0.20
Basic_Linear,core,2,32,0.28
Basic_Linear,core,2,64,0.28
Basic_Linear,core,2,128,0.32
Basic_Linear,core,2,256,0.35
Basic_Linear,core,2,512,0.38
Basic_Linear,core,2,1024,0.43
Basic_Linear,core,2,2048,0.57
Basic_Linear,core,2,4096,0.87
Basic_Linear,core,2,8192,1.63
Basic_Linear,core,2,16384,2.92
Basic_Linear,core,2,32768,5.30
Basic_Linear,core,2,65536,10.12
Basic_Linear,core,2,131072,15.54
Basic_Linear,core,2,262144,26.38
Basic_Linear,core,2,524288,50.49
Basic_Linear,core,2,1048576,113.18
Basic_Linear,core,3,1,0.41
Basic_Linear,core,3,2,0.40
Basic_Linear,core,3,4,0.41
Basic_Linear,core,3,8,0.40
Basic_Linear,core,3,16,0.40
Basic_Linear,core,3,32,0.43
Basic_Linear,core,3,64,0.43
Basic_Linear,core,3,128,0.53
Basic_Linear,core,3,256,0.56
Basic_Linear,core,3,512,0.63
Basic_Linear,core,3,1024,0.76
Basic_Linear,core,3,2048,0.98
Basic_Linear,core,3,4096,1.53
Basic_Linear,core,3,8192,2.47
Basic_Linear,core,3,16384,4.34
Basic_Linear,core,3,32768,7.89
Basic_Linear,core,3,65536,15.06
Basic_Linear,core,3,131072,20.55
Basic_Linear,core,3,262144,38.57
Basic_Linear,core,3,524288,76.58
Basic_Linear,core,3,1048576,171.57
Basic_Linear,core,4,1,0.33
Basic_Linear,core,4,2,0.32
Basic_Linear,core,4,4,0.32
Basic_Linear,core,4,8,0.32
Basic_Linear,core,4,16,0.36
Basic_Linear,core,4,32,0.37
Basic_Linear,core,4,64,0.46
Basic_Linear,core,4,128,0.56
Basic_Linear,core,4,256,0.62
Basic_Linear,core,4,512,0.76
Basic_Linear,core,4,1024,1.05
Basic_Linear,core,4,2048,1.08
Basic_Linear,core,4,4096,2.62
Basic_Linear,core,4,8192,2.85
Basic_Linear,core,4,16384,5.25
Basic_Linear,core,4,32768,8.46
Basic_Linear,core,4,65536,15.03
Basic_Linear,core,4,131072,27.68
Basic_Linear,core,4,262144,55.46
Basic_Linear,core,4,524288,120.76
Basic_Linear,core,4,1048576,223.88
Basic_Linear,core,5,1,0.40
Basic_Linear,core,5,2,0.39
Basic_Linear,core,5,4,0.39
Basic_Linear,core,5,8,0.39
Basic_Linear,core,5,16,0.40
Basic_Linear,core,5,32,0.43
Basic_Linear,core,5,64,0.53
