Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,2,1,0.20
Binomial,core,2,2,0.20
Binomial,core,2,4,0.20
Binomial,core,2,8,0.19
Binomial,core,2,16,0.19
Binomial,core,2,32,0.24
Binomial,core,2,64,0.24
Binomial,core,2,128,0.31
Binomial,core,2,256,0.32
Binomial,core,2,512,0.36
Binomial,core,2,1024,0.41
Binomial,core,2,2048,0.57
Binomial,core,2,4096,0.87
Binomial,core,2,8192,1.64
Binomial,core,2,16384,2.94
Binomial,core,2,32768,5.37
Binomial,core,2,65536,10.25
Binomial,core,2,131072,15.33
Binomial,core,2,262144,25.85
Binomial,core,2,524288,49.43
Binomial,core,2,1048576,112.64
Binomial,core,3,1,0.40
Binomial,core,3,2,0.39
Binomial,core,3,4,0.39
Binomial,core,3,8,0.39
Binomial,core,3,16,0.39
Binomial,core,3,32,0.42
Binomial,core,3,64,0.42
Binomial,core,3,128,0.53
Binomial,core,3,256,0.57
Binomial,core,3,512,0.64
Binomial,core,3,1024,0.76
Binomial,core,3,2048,0.98
Binomial,core,3,4096,1.54
Binomial,core,3,8192,2.46
Binomial,core,3,16384,4.37
Binomial,core,3,32768,8.02
Binomial,core,3,65536,15.15
Binomial,core,3,131072,20.60
Binomial,core,3,262144,37.67
Binomial,core,3,524288,73.63
Binomial,core,3,1048576,168.02
Binomial,core,4,1,0.35
Binomial,core,4,2,0.35
Binomial,core,4,4,0.35
Binomial,core,4,8,0.35
Binomial,core,4,16,0.39
Binomial,core,4,32,0.41
Binomial,core,4,64,0.49
Binomial,core,4,128,0.60
Binomial,core,4,256,0.62
Binomial,core,4,512,0.78
Binomial,core,4,1024,1.07
Binomial,core,4,2048,1.10
Binomial,core,4,4096,2.61
Binomial,core,4,8192,2.88
Binomial,core,4,16384,5.30
Binomial,core,4,32768,8.64
Binomial,core,4,65536,14.78
Binomial,core,4,131072,27.45
Binomial,core,4,262144,54.72
Binomial,core,4,524288,120.46
Binomial,core,4,1048576,217.25
Binomial,core,5,1,0.36
Binomial,core,5,2,0.36
Binomial,core,5,4,0.36
Binomial,core,5,8,0.36
Binomial,core,5,16,0.37
Binomial,core,5,32,0.39
Binomial,core,5,64,0.46
Binomial,core,5,128,0.63
Binomial,core,5,256,0.68
Binomial,core,5,512,0.83
Binomial,core,5,1024,1.16
Binomial,core,5,2048,1.33
Binomial,core,5,4096,2.78
Binomial,core,5,8192,3.43
Binomial,core,5,16384,6.39
Binomial,core,5,32768,9.93
Binomial,core,5,65536,19.70
Binomial,core,5,131072,39.02
Binomial,core,5,262144,65.22
Binomial,core,5,524288,119.63
Binomial,core,5,1048576,291.95
Binomial,core,6,1,0.46
Binomial,core,6,2,0.46
Binomial,core,6,4,0.45
Binomial,core,6,8,0.45
Binomial,core,6,16,0.48
Binomial,core,6,32,0.50
Binomial,core,6,64,0.64
Binomial,core,6,128,0.77
Binomial,core,6,256,0.84
Binomial,core,6,512,1.03
Binomial,core,6,1024,1.42
Binomial,core,6,2048,1.58
Binomial,core,6,4096,3.49
Binomial,core,6,8192,3.95
Binomial,core,6,16384,7.53
Binomial,core,6,32768,10.51
Binomial,core,6,65536,21.96
Binomial,core,6,131072,31.18
Binomial,core,6,262144,66.86
Binomial,core,6,524288,141.61
Binomial,core,6,1048576,344.21
Binomial,core,7,1,0.57
Binomial,core,7,2,0.56
Binomial,core,7,4,0.56
Binomial,core,7,8,0.56
Binomial,core,7,16,0.57
Binomial,core,7,32,0.68
Binomial,core,7,64,0.77
Binomial,core,7,128,0.92
Binomial,core,7,256,1.05
Binomial,core,7,512,1.37
Binomial,core,7,1024,1.87
Binomial,core,7,2048,1.93
Binomial,core,7,4096,4.61
Binomial,core,7,8192,4.83
Binomial,core,7,16384,8.64
Binomial,core,7,32768,12.99
Binomial,core,7,65536,24.86
Binomial,core,7,131072,50.36
Binomial,core,7,262144,69.09
Binomial,core,7,524288,127.40
Binomial,core,7,1048576,403.50
Binomial,core,8,1,0.73
Binomial,core,8,2,0.72
Binomial,core,8,4,0.72
Binomial,core,8,8,0.72
Binomial,core,8,16,0.75
Binomial,core,8,32,0.88
Binomial,core,8,64,1.04
Binomial,core,8,128,1.22
Binomial,core,8,256,1.34
Binomial,core,8,512,1.66
Binomial,core,8,1024,2.32
Binomial,core,8,2048,3.49
Binomial,core,8,4096,5.26
Binomial,core,8,8192,8.69
Binomial,core,8,16384,7.19
Binomial,core,8,32768,13.16
Binomial,core,8,65536,19.82
Binomial,core,8,131072,47.02
Binomial,core,8,262144,117.39
Binomial,core,8,524288,148.67
Binomial,core,8,1048576,465.66
Binomial,core,9,1,1.13
Binomial,core,9,2,1.12
Binomial,core,9,4,1.12
Binomial,core,9,8,1.13
Binomial,core,9,16,1.15
Binomial,core,9,32,1.34
Binomial,core,9,64,1.45
Binomial,core,9,128,1.65
Binomial,core,9,256,1.82
Binomial,core,9,512,2.13
Binomial,core,9,1024,2.81
Binomial,core,9,2048,4.16
Binomial,core,9,4096,5.96
Binomial,core,9,8192,8.97
Binomial,core,9,16384,8.13
Binomial,core,9,32768,14.63
Binomial,core,9,65536,30.65
Binomial,core,9,131072,62.76
Binomial,core,9,262144,78.71
Binomial,core,9,524288,126.54
Binomial,core,9,1048576,523.09
Binomial,core,10,1,0.97
Binomial,core,10,2,0.96
Binomial,core,10,4,0.97
Binomial,core,10,8,1.01
Binomial,core,10,16,1.06
Binomial,core,10,32,1.15
Binomial,core,10,64,1.38
