Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,2,1,0.23
Default,core,2,2,0.20
Default,core,2,4,0.20
Default,core,2,8,0.20
Default,core,2,16,0.20
Default,core,2,32,0.26
Default,core,2,64,0.27
Default,core,2,128,0.32
Default,core,2,256,0.33
Default,core,2,512,0.37
Default,core,2,1024,0.42
Default,core,2,2048,0.59
Default,core,2,4096,0.87
Default,core,2,8192,1.63
Default,core,2,16384,2.91
Default,core,2,32768,5.30
Default,core,2,65536,10.11
Default,core,2,131072,15.40
Default,core,2,262144,26.31
Default,core,2,524288,51.24
Default,core,2,1048576,118.01
Default,core,3,1,0.41
Default,core,3,2,0.40
Default,core,3,4,0.38
Default,core,3,8,0.40
Default,core,3,16,0.38
Default,core,3,32,0.42
Default,core,3,64,0.42
Default,core,3,128,0.52
Default,core,3,256,0.59
Default,core,3,512,0.63
Default,core,3,1024,0.76
Default,core,3,2048,0.98
Default,core,3,4096,1.51
Default,core,3,8192,2.45
Default,core,3,16384,4.33
Default,core,3,32768,7.88
Default,core,3,65536,15.23
Default,core,3,131072,20.66
Default,core,3,262144,38.74
Default,core,3,524288,75.56
Default,core,3,1048576,172.80
Default,core,4,1,0.36
Default,core,4,2,0.37
Default,core,4,4,0.36
Default,core,4,8,0.36
Default,core,4,16,0.38
Default,core,4,32,0.41
Default,core,4,64,0.49
Default,core,4,128,0.59
Default,core,4,256,0.64
Default,core,4,512,0.80
Default,core,4,1024,1.09
Default,core,4,2048,1.09
Default,core,4,4096,2.65
Default,core,4,8192,2.89
Default,core,4,16384,5.25
Default,core,4,32768,8.89
Default,core,4,65536,14.56
Default,core,4,131072,26.67
Default,core,4,262144,52.56
Default,core,4,524288,117.68
Default,core,4,1048576,224.42
Default,core,5,1,0.39
Default,core,5,2,0.39
Default,core,5,4,0.39
Default,core,5,8,0.38
Default,core,5,16,0.42
Default,core,5,32,0.46
Default,core,5,64,0.49
Default,core,5,128,0.64
Default,core,5,256,0.70
Default,core,5,512,0.83
Default,core,5,1024,1.17
Default,core,5,2048,1.47
Default,core,5,4096,2.99
Default,core,5,8192,3.65
Default,core,5,16384,6.67
Default,core,5,32768,9.51
Default,core,5,65536,14.94
Default,core,5,131072,37.59
Default,core,5,262144,77.13
Default,core,5,524288,134.11
Default,core,5,1048576,303.57
Default,core,6,1,0.46
Default,core,6,2,0.45
Default,core,6,4,0.44
Default,core,6,8,0.45
Default,core,6,16,0.48
Default,core,6,32,0.51
Default,core,6,64,0.65
Default,core,6,128,0.78
Default,core,6,256,0.83
Default,core,6,512,1.05
Default,core,6,1024,1.44
Default,core,6,2048,1.59
Default,core,6,4096,3.53
Default,core,6,8192,3.96
Default,core,6,16384,7.37
Default,core,6,32768,10.62
Default,core,6,65536,21.32
Default,core,6,131072,44.24
Default,core,6,262144,90.08
Default,core,6,524288,104.05
Default,core,6,1048576,356.08
Default,core,7,1,0.61
Default,core,7,2,0.60
Default,core,7,4,0.59
Default,core,7,8,0.61
Default,core,7,16,0.64
Default,core,7,32,0.73
Default,core,7,64,0.79
Default,core,7,128,0.97
Default,core,7,256,1.07
Default,core,7,512,1.39
Default,core,7,1024,1.93
Default,core,7,2048,1.97
Default,core,7,4096,4.72
Default,core,7,8192,4.77
Default,core,7,16384,8.43
Default,core,7,32768,12.15
Default,core,7,65536,24.76
Default,core,7,131072,50.57
Default,core,7,262144,59.76
Default,core,7,524288,134.82
