Algorithm,Allocation,Processes,MessageSize,Latency
Linear_Nb,core,2,1,0.22
Linear_Nb,core,2,2,0.20
Linear_Nb,core,2,4,0.20
Linear_Nb,core,2,8,0.20
Linear_Nb,core,2,16,0.20
Linear_Nb,core,2,32,0.27
Linear_Nb,core,2,64,0.25
Linear_Nb,core,2,128,0.31
Linear_Nb,core,2,256,0.32
Linear_Nb,core,2,512,0.37
Linear_Nb,core,2,1024,0.41
Linear_Nb,core,2,2048,0.58
Linear_Nb,core,2,4096,0.86
Linear_Nb,core,2,8192,1.62
Linear_Nb,core,2,16384,2.90
Linear_Nb,core,2,32768,5.27
Linear_Nb,core,2,65536,10.08
Linear_Nb,core,2,131072,15.44
Linear_Nb,core,2,262144,25.94
Linear_Nb,core,2,524288,50.01
Linear_Nb,core,2,1048576,113.80
Linear_Nb,core,3,1,0.48
Linear_Nb,core,3,2,0.45
Linear_Nb,core,3,4,0.42
Linear_Nb,core,3,8,0.43
Linear_Nb,core,3,16,0.43
Linear_Nb,core,3,32,0.45
Linear_Nb,core,3,64,0.45
Linear_Nb,core,3,128,0.56
Linear_Nb,core,3,256,0.60
Linear_Nb,core,3,512,0.68
Linear_Nb,core,3,1024,0.80
Linear_Nb,core,3,2048,1.02
Linear_Nb,core,3,4096,1.55
Linear_Nb,core,3,8192,2.46
Linear_Nb,core,3,16384,4.36
Linear_Nb,core,3,32768,7.99
Linear_Nb,core,3,65536,15.16
Linear_Nb,core,3,131072,21.05
Linear_Nb,core,3,262144,38.28
Linear_Nb,core,3,524288,75.00
Linear_Nb,core,3,1048576,169.72
Linear_Nb,core,4,1,0.36
Linear_Nb,core,4,2,0.35
Linear_Nb,core,4,4,0.35
Linear_Nb,core,4,8,0.35
Linear_Nb,core,4,16,0.39
Linear_Nb,core,4,32,0.42
Linear_Nb,core,4,64,0.50
Linear_Nb,core,4,128,0.59
Linear_Nb,core,4,256,0.66
Linear_Nb,core,4,512,0.79
Linear_Nb,core,4,1024,1.08
Linear_Nb,core,4,2048,1.09
Linear_Nb,core,4,4096,2.63
Linear_Nb,core,4,8192,2.87
Linear_Nb,core,4,16384,5.28
Linear_Nb,core,4,32768,8.63
Linear_Nb,core,4,65536,14.83
Linear_Nb,core,4,131072,27.43
Linear_Nb,core,4,262144,53.16
Linear_Nb,core,4,524288,115.69
Linear_Nb,core,4,1048576,224.32
Linear_Nb,core,5,1,0.38
Linear_Nb,core,5,2,0.38
Linear_Nb,core,5,4,0.37
Linear_Nb,core,5,8,0.37
Linear_Nb,core,5,16,0.39
Linear_Nb,core,5,32,0.42
Linear_Nb,core,5,64,0.48
Linear_Nb,core,5,128,0.62
Linear_Nb,core,5,256,0.68
Linear_Nb,core,5,512,0.84
Linear_Nb,core,5,1024,1.17
Linear_Nb,core,5,2048,1.38
Linear_Nb,core,5,4096,2.82
Linear_Nb,core,5,8192,3.44
Linear_Nb,core,5,16384,6.30
Linear_Nb,core,5,32768,9.93
Linear_Nb,core,5,65536,19.17
Linear_Nb,core,5,131072,38.24
Linear_Nb,core,5,262144,48.62
Linear_Nb,core,5,524288,139.92
Linear_Nb,core,5,1048576,303.32
Linear_Nb,core,6,1,0.51
Linear_Nb,core,6,2,0.49
Linear_Nb,core,6,4,0.48
Linear_Nb,core,6,8,0.48
Linear_Nb,core,6,16,0.54
Linear_Nb,core,6,32,0.53
Linear_Nb,core,6,64,0.72
Linear_Nb,core,6,128,0.83
Linear_Nb,core,6,256,0.87
Linear_Nb,core,6,512,1.08
Linear_Nb,core,6,1024,1.47
Linear_Nb,core,6,2048,1.61
Linear_Nb,core,6,4096,3.53
Linear_Nb,core,6,8192,3.98
Linear_Nb,core,6,16384,7.41
Linear_Nb,core,6,32768,10.48
Linear_Nb,core,6,65536,21.15
Linear_Nb,core,6,131072,29.50
Linear_Nb,core,6,262144,68.04
Linear_Nb,core,6,524288,142.70
Linear_Nb,core,6,1048576,352.87
Linear_Nb,core,7,1,0.57
