Iteration,Total Tasks,Elapsed Time(s)
1,2,0.385801
1,4,0.193414
1,6,0.129725
1,8,0.104975
1,10,0.092556
1,12,0.086416
1,14,0.060895
1,16,0.084525
1,18,0.053500
1,20,0.080411
1,22,0.071087
1,24,0.074468
1,26,0.111650
1,28,0.100124
1,30,0.120977
1,32,0.130042
1,34,0.121883
1,36,0.111134
1,38,0.116372
1,40,0.114625
1,42,0.103476
1,44,0.105476
1,46,0.094968
1,48,0.105730
2,2,0.386762
2,4,0.205807
2,6,0.129767
2,8,0.097656
2,10,0.090858
2,12,0.111584
2,14,0.061812
2,16,0.056068
2,18,0.080126
2,20,0.047877
2,22,0.076152
2,24,0.070664
2,26,0.098322
2,28,0.070553
2,30,0.133146
2,32,0.120911
2,34,0.117838
2,36,0.113448
2,38,0.106076
2,40,0.127577
2,42,0.099475
2,44,0.101615
2,46,0.106112
2,48,0.099085
