Iteration,Total Tasks,Total Threads,Elapsed Time(s),Computation Time(s),Gathering Time(s)
1,1,1,155.434370,155.434293,0.000000
1,1,2,77.707064,77.707000,0.000000
1,1,4,38.879703,38.879630,0.000000
1,1,8,19.703820,19.703747,0.000000
1,1,16,9.760608,9.760545,0.000000
1,2,1,78.084820,77.806457,0.276537
1,2,2,39.166779,38.896631,0.270048
1,2,4,19.983144,19.713324,0.269711
1,2,8,10.044459,9.765535,0.278818
1,2,16,5.184004,4.896383,0.285060
1,4,1,39.322109,38.926843,0.394903
1,4,2,19.923149,19.554545,0.368505
1,4,4,10.131761,9.757560,0.374041
1,4,8,5.280223,4.897739,0.382053
1,4,16,2.848738,2.469834,0.378454
1,8,1,19.842158,19.473495,0.368577
1,8,2,10.151602,9.782731,0.368669
1,8,4,5.257407,4.888704,0.368476
1,8,8,2.819987,2.454597,0.365163
1,8,16,1.617801,1.246311,0.371297
2,1,1,155.409889,155.409816,0.000000
2,1,2,77.664289,77.664215,0.000000
2,1,4,38.880104,38.880029,0.000000
2,1,8,19.665467,19.665422,0.000000
2,1,16,9.755703,9.755633,0.000000
2,2,1,78.043589,77.769564,0.273924
2,2,2,39.150246,38.876891,0.272892
2,2,4,19.842473,19.572226,0.270106
2,2,8,10.037199,9.758117,0.278648
2,2,16,5.175033,4.899249,0.275681
2,4,1,39.322134,38.929714,0.391610
2,4,2,20.067800,19.690660,0.376680
2,4,4,10.151537,9.773737,0.375307
2,4,8,5.275338,4.893830,0.381281
2,4,16,2.847991,2.469653,0.377594
2,8,1,19.836743,19.470659,0.365823
2,8,2,10.142965,9.778382,0.364425
2,8,4,5.256349,4.887593,0.368627
2,8,8,2.820355,2.455651,0.364593
2,8,16,1.617025,1.246608,0.370267
3,1,1,155.419511,155.419447,0.000000
3,1,2,77.949657,77.949593,0.000000
3,1,4,38.880142,38.880079,0.000000
3,1,8,19.619907,19.619835,0.000000
3,1,16,9.757853,9.757777,0.000000
3,2,1,78.068769,77.790536,0.275271
3,2,2,39.153130,38.883032,0.269960
3,2,4,19.873898,19.604282,0.269538
3,2,8,10.036242,9.758663,0.277437
3,2,16,5.175528,4.897205,0.275245
3,4,1,39.348190,38.950130,0.397928
3,4,2,19.917142,19.536568,0.377097
3,4,4,10.135403,9.760625,0.374672
3,4,8,5.282432,4.897526,0.384282
3,4,16,2.843100,2.466682,0.376239
3,8,1,19.834776,19.464123,0.370583
3,8,2,10.145999,9.771070,0.374856
3,8,4,5.258571,4.889520,0.368887
3,8,8,2.817277,2.453038,0.364013
3,8,16,1.613536,1.247014,0.366438
4,1,1,156.604897,156.604832,0.000000
4,1,2,77.947951,77.947886,0.000000
4,1,4,38.960965,38.960900,0.000000
4,1,8,19.704049,19.703979,0.000000
4,1,16,9.760441,9.760369,0.000000
4,2,1,78.062953,77.789209,0.273593
4,2,2,39.161695,38.892200,0.268659
4,2,4,19.849165,19.580016,0.269009
4,2,8,10.042300,9.764418,0.277780
4,2,16,5.183245,4.898728,0.284374
4,4,1,39.347805,38.945866,0.401541
4,4,2,19.945725,19.574025,0.371124
4,4,4,10.130894,9.755761,0.374785
4,4,8,5.283068,4.900918,0.381639
4,4,16,2.847065,2.470734,0.375856
4,8,1,19.849290,19.479644,0.369344
4,8,2,10.161637,9.788936,0.372609
4,8,4,5.257864,4.888199,0.369419
4,8,8,2.818696,2.453432,0.365078
4,8,16,1.615585,1.249548,0.365964
5,1,1,155.415372,155.415300,0.000000
5,1,2,77.671552,77.671477,0.000000
5,1,4,38.877117,38.877050,0.000000
5,1,8,19.732599,19.732531,0.000000
5,1,16,9.758573,9.758504,0.000000
5,2,1,78.069881,77.792958,0.273832
5,2,2,39.154024,38.881222,0.272673
5,2,4,19.891419,19.620633,0.268779
5,2,8,10.033024,9.756574,0.276362
5,2,16,5.173311,4.897204,0.275950
5,4,1,39.321345,38.926482,0.394353
5,4,2,20.063293,19.690561,0.372256
5,4,4,10.152241,9.771471,0.380083
5,4,8,5.282746,4.896666,0.385724
5,4,16,2.841551,2.465091,0.375232
5,8,1,19.855615,19.482758,0.372781
5,8,2,10.157001,9.789020,0.367860
5,8,4,5.256659,4.887965,0.368546
5,8,8,2.821554,2.453666,0.367603
5,8,16,1.619428,1.247991,0.371355
