Iteration,Total Tasks,Mapping,Binding,Elapsed Time(s),Computation Time(s),Gathering Time(s)
,1,node,none,,,
,1,node,core,,,
,1,node,socket,,,
,1,node,hwthread,,,
,1,socket,none,,,
,1,socket,core,,,
,1,socket,socket,,,
,1,socket,hwthread,,,
,1,core,none,,,
,1,core,core,,,
,1,core,socket,,,
,1,core,hwthread,,,
,1,hwthread,none,,,
,1,hwthread,core,,,
,1,hwthread,socket,,,
,1,hwthread,hwthread,,,
,2,node,none,,,
,2,node,core,,,
,2,node,socket,,,
,2,node,hwthread,,,
,2,socket,none,,,
,2,socket,core,,,
,2,socket,socket,,,
,2,socket,hwthread,,,
,2,core,none,,,
,2,core,core,,,
,2,core,socket,,,
,2,core,hwthread,,,
,2,hwthread,none,,,
,2,hwthread,core,,,
,2,hwthread,socket,,,
,2,hwthread,hwthread,,,
,4,node,none,,,
,4,node,core,,,
,4,node,socket,,,
,4,node,hwthread,,,
,4,socket,none,,,
,4,socket,core,,,
,4,socket,socket,,,
,4,socket,hwthread,,,
,4,core,none,,,
,4,core,core,,,
,4,core,socket,,,
,4,core,hwthread,,,
,4,hwthread,none,,,
,4,hwthread,core,,,
,4,hwthread,socket,,,
,4,hwthread,hwthread,,,
,8,node,none,,,
,8,node,core,,,
,8,node,socket,,,
,8,node,hwthread,,,
,8,socket,none,,,
,8,socket,core,,,
,8,socket,socket,,,
,8,socket,hwthread,,,
,8,core,none,,,
,8,core,core,,,
,8,core,socket,,,
,8,core,hwthread,,,
,8,hwthread,none,,,
,8,hwthread,core,,,
,8,hwthread,socket,,,
,8,hwthread,hwthread,,,
,16,node,none,,,
,16,node,core,,,
,16,node,socket,,,
,16,node,hwthread,,,
,16,socket,none,,,
,16,socket,core,,,
,16,socket,socket,,,
,16,socket,hwthread,,,
,16,core,none,,,
,16,core,core,,,
,16,core,socket,,,
,16,core,hwthread,,,
,16,hwthread,none,,,
,16,hwthread,core,,,
,16,hwthread,socket,,,
,16,hwthread,hwthread,,,
,32,node,none,,,
,32,node,core,,,
,32,node,socket,,,
,32,node,hwthread,,,
,32,socket,none,,,
,32,socket,core,,,
,32,socket,socket,,,
,32,socket,hwthread,,,
,32,core,none,,,
,32,core,core,,,
,32,core,socket,,,
,32,core,hwthread,,,
,32,hwthread,none,,,
,32,hwthread,core,,,
,32,hwthread,socket,,,
,32,hwthread,hwthread,,,
,48,node,none,,,
,48,node,core,,,
,48,node,socket,,,
,48,node,hwthread,,,
,48,socket,none,,,
,48,socket,core,,,
,48,socket,socket,,,
,48,socket,hwthread,,,
,48,core,none,,,
,48,core,core,,,
,48,core,socket,,,
,48,core,hwthread,,,
,48,hwthread,none,,,
,48,hwthread,core,,,
,48,hwthread,socket,,,
,48,hwthread,hwthread,,,
,64,node,none,,,
,64,node,core,,,
,64,node,socket,,,
,64,node,hwthread,,,
,64,socket,none,,,
,64,socket,core,,,
,64,socket,socket,,,
,64,socket,hwthread,,,
,64,core,none,,,
,64,core,core,,,
,64,core,socket,,,
,64,core,hwthread,,,
,64,hwthread,none,,,
,64,hwthread,core,,,
,64,hwthread,socket,,,
,64,hwthread,hwthread,,,
,80,node,none,,,
,80,node,core,,,
,80,node,socket,,,
,80,node,hwthread,,,
,80,socket,none,,,
,80,socket,core,,,
,80,socket,socket,,,
,80,socket,hwthread,,,
,80,core,none,,,
,80,core,core,,,
,80,core,socket,,,
,80,core,hwthread,,,
,80,hwthread,none,,,
,80,hwthread,core,,,
,80,hwthread,socket,,,
,80,hwthread,hwthread,,,
,96,node,none,,,
,96,node,core,,,
,96,node,socket,,,
,96,node,hwthread,,,
,96,socket,none,,,
,96,socket,core,,,
,96,socket,socket,,,
,96,socket,hwthread,,,
,96,core,none,,,
,96,core,core,,,
,96,core,socket,,,
,96,core,hwthread,,,
,96,hwthread,none,,,
,96,hwthread,core,,,
,96,hwthread,socket,,,
,96,hwthread,hwthread,,,
,112,node,none,,,
,112,node,core,,,
,112,node,socket,,,
,112,node,hwthread,,,
,112,socket,none,,,
,112,socket,core,,,
,112,socket,socket,,,
,112,socket,hwthread,,,
,112,core,none,,,
,112,core,core,,,
,112,core,socket,,,
,112,core,hwthread,,,
,112,hwthread,none,,,
,112,hwthread,core,,,
,112,hwthread,socket,,,
,112,hwthread,hwthread,,,
,128,node,none,,,
,128,node,core,,,
,128,node,socket,,,
,128,node,hwthread,,,
,128,socket,none,,,
,128,socket,core,,,
,128,socket,socket,,,
,128,socket,hwthread,,,
,128,core,none,,,
,128,core,core,,,
,128,core,socket,,,
,128,core,hwthread,,,
,128,hwthread,none,,,
,128,hwthread,core,,,
,128,hwthread,socket,,,
,128,hwthread,hwthread,,,
,144,node,none,,,
,144,node,core,,,
,144,node,socket,,,
,144,node,hwthread,,,
,144,socket,none,,,
,144,socket,core,,,
,144,socket,socket,,,
,144,socket,hwthread,,,
,144,core,none,,,
,144,core,core,,,
,144,core,socket,,,
,144,core,hwthread,,,
,144,hwthread,none,,,
,144,hwthread,core,,,
,144,hwthread,socket,,,
,144,hwthread,hwthread,,,
,160,node,none,,,
,160,node,core,,,
,160,node,socket,,,
,160,node,hwthread,,,
,160,socket,none,,,
,160,socket,core,,,
,160,socket,socket,,,
,160,socket,hwthread,,,
,160,core,none,,,
,160,core,core,,,
,160,core,socket,,,
,160,core,hwthread,,,
,160,hwthread,none,,,
,160,hwthread,core,,,
,160,hwthread,socket,,,
,160,hwthread,hwthread,,,
,176,node,none,,,
,176,node,core,,,
,176,node,socket,,,
,176,node,hwthread,,,
,176,socket,none,,,
,176,socket,core,,,
,176,socket,socket,,,
,176,socket,hwthread,,,
,176,core,none,,,
,176,core,core,,,
,176,core,socket,,,
,176,core,hwthread,,,
,176,hwthread,none,,,
,176,hwthread,core,,,
,176,hwthread,socket,,,
,176,hwthread,hwthread,,,
,192,node,none,,,
,192,node,core,,,
,192,node,socket,,,
,192,node,hwthread,,,
,192,socket,none,,,
,192,socket,core,,,
