Iteration,Total Tasks,Elapsed Time(s),Computation Time(s),Gathering Time(s)
1,1,155.494953,155.494903,0.000000
1,2,78.412362,78.171495,0.240388
1,4,39.329938,38.941280,0.388060
1,8,20.108750,19.747956,0.360720
1,16,10.103531,9.754135,0.349264
1,32,5.330698,4.948046,0.382430
1,48,3.649749,3.259313,0.390081
1,64,2.817617,2.443368,0.374003
1,80,2.302104,1.954943,0.346504
1,96,1.997500,1.641056,0.354205
1,112,1.764005,1.401451,0.357435
1,128,1.617176,1.224732,0.388776
1,144,1.493607,1.091682,0.394913
1,160,1.346705,0.986503,0.356348
1,176,1.276132,0.919738,0.345031
1,192,1.141097,0.818120,0.320300
1,208,1.128548,0.809449,0.316536
1,224,1.028985,0.707228,0.320170
1,240,0.986905,0.656415,0.327480
1,256,0.963350,0.627346,0.323557
2,1,156.503997,156.503933,0.000000
2,2,77.927296,77.681044,0.246180
2,4,39.366071,38.973651,0.392068
2,8,20.127243,19.761361,0.365649
2,16,10.102010,9.758849,0.342962
2,32,5.318097,4.934308,0.383514
2,48,3.676305,3.298451,0.377093
2,64,2.822943,2.444900,0.376236
2,80,2.296458,1.954744,0.340941
2,96,1.985106,1.631041,0.351593
2,112,1.774535,1.402283,0.368706
2,128,1.632857,1.241213,0.384871
2,144,1.471777,1.089238,0.377697
2,160,1.332195,0.979866,0.345244
2,176,1.245544,0.892559,0.343808
2,192,1.145711,0.820903,0.320839
2,208,1.097999,0.760290,0.333973
2,224,1.039916,0.704688,0.331044
2,240,0.985915,0.659873,0.322472
2,256,0.961635,0.622194,0.330748
3,1,156.506875,156.506822,0.000000
3,2,78.384435,78.141443,0.242531
3,4,39.366549,38.969975,0.396463
3,8,20.079196,19.711268,0.367834
3,16,10.147968,9.806494,0.341144
3,32,5.332065,4.945444,0.385914
3,48,3.652005,3.256687,0.393884
3,64,2.815591,2.445905,0.368496
3,80,2.300774,1.954432,0.346098
3,96,1.992750,1.629058,0.361130
3,112,1.759550,1.397930,0.356736
3,128,1.627084,1.226203,0.390686
3,144,1.450345,1.089122,0.358346
3,160,1.337286,0.983136,0.345654
3,176,1.226328,0.891618,0.329704
3,192,1.160491,0.817716,0.337927
3,208,1.134265,0.799358,0.328118
3,224,1.043812,0.706959,0.332554
3,240,1.037903,0.708432,0.326074
3,256,0.981771,0.628048,0.342175
