Threads,OMP_PLACES,OMP_PROC_BIND,Elapsed Time(s),Computation Time(s),Gathering Time(s)
8,cores,close,12.461673,12.461614,0.000000
8,cores,spread,12.460701,12.460642,0.000000
8,cores,none,12.476815,12.476750,0.000000
8,sockets,close,12.482557,12.482520,0.000000
8,sockets,spread,12.499637,12.499602,0.000000
8,sockets,none,12.476604,12.476560,0.000000
8,threads,close,12.472390,12.472335,0.000000
8,threads,spread,12.469852,12.469791,0.000000
8,threads,none,12.471318,12.471260,0.000000
8,none,close,12.462544,12.462493,0.000000
8,none,spread,12.463256,12.463202,0.000000
8,none,none,12.470451,12.470407,0.000000
16,cores,close,6.228754,6.228711,0.000000
16,cores,spread,6.235658,6.235587,0.000000
16,cores,none,6.237828,6.237768,0.000000
16,sockets,close,6.270080,6.270042,0.000000
16,sockets,spread,6.262287,6.262248,0.000000
16,sockets,none,6.235555,6.235511,0.000000
16,threads,close,6.237914,6.237858,0.000000
16,threads,spread,6.234733,6.234678,0.000000
16,threads,none,6.235245,6.235179,0.000000
16,none,close,6.233888,6.233835,0.000000
16,none,spread,6.238460,6.238392,0.000000
16,none,none,6.237256,6.237218,0.000000
32,cores,close,3.116399,3.116344,0.000000
32,cores,spread,3.117475,3.117418,0.000000
32,cores,none,3.117510,3.117441,0.000000
32,sockets,close,3.492481,3.492430,0.000000
32,sockets,spread,3.300709,3.300665,0.000000
32,sockets,none,3.324366,3.324326,0.000000
32,threads,close,3.119521,3.119460,0.000000
32,threads,spread,3.118871,3.118806,0.000000
32,threads,none,3.116232,3.116177,0.000000
32,none,close,3.116488,3.116428,0.000000
32,none,spread,3.116725,3.116665,0.000000
32,none,none,3.323102,3.323061,0.000000
64,cores,close,1.886164,1.886098,0.000000
64,cores,spread,1.885932,1.885873,0.000000
64,cores,none,1.886587,1.886528,0.000000
64,sockets,close,2.341338,2.341295,0.000000
64,sockets,spread,1.997334,1.997292,0.000000
64,sockets,none,1.999893,1.999849,0.000000
64,threads,close,1.885695,1.885621,0.000000
64,threads,spread,1.884951,1.884897,0.000000
64,threads,none,1.885542,1.885489,0.000000
64,none,close,1.886019,1.885958,0.000000
64,none,spread,1.885577,1.885524,0.000000
64,none,none,2.238217,2.238180,0.000000
