Iteration,Threads,Elapsed Time(s)
1,1,233.462958
1,2,116.315291
1,4,58.220161
1,8,28.887448
1,16,14.474802
1,24,9.605245
1,32,7.206170
1,40,5.762953
1,48,4.797178
1,56,4.113989
1,64,3.602359
1,72,3.605421
1,80,3.605305
1,88,3.606468
1,96,3.606061
1,104,3.606531
1,112,3.606098
1,120,3.610245
1,128,3.610949
2,1,232.614344
2,2,115.737114
2,4,58.923224
2,8,29.272744
2,16,14.494637
2,24,9.638092
2,32,7.216193
2,40,5.771870
2,48,4.816503
2,56,4.129232
2,64,3.610195
2,72,3.617248
2,80,3.614392
2,88,3.618745
2,96,3.612781
2,104,3.619563
2,112,3.616021
2,120,3.621764
2,128,3.621841
3,1,233.064564
3,2,116.276462
3,4,57.958901
3,8,28.965591
3,16,14.414671
3,24,9.607302
3,32,7.206661
3,40,5.762746
3,48,4.797165
3,56,4.114032
3,64,3.601828
3,72,3.607437
3,80,3.605251
3,88,3.606320
3,96,3.606856
3,104,3.606519
3,112,3.606480
3,120,3.606886
3,128,3.609805
4,1,233.355052
4,2,116.283895
4,4,58.176238
4,8,28.885469
4,16,14.465198
4,24,9.607034
4,32,7.203134
4,40,5.765009
4,48,4.796764
4,56,4.113672
4,64,3.601622
4,72,3.606385
4,80,3.605988
4,88,3.606578
4,96,3.605692
4,104,3.606482
4,112,3.606317
4,120,3.606981
4,128,3.609622
5,1,234.379584
5,2,115.837166
5,4,57.967517
5,8,28.977224
5,16,14.466287
5,24,9.604042
5,32,7.204840
5,40,5.764902
5,48,4.799294
5,56,4.115641
5,64,3.601903
5,72,3.606325
5,80,3.606061
5,88,3.605904
5,96,3.607343
5,104,3.606939
5,112,3.606313
5,120,3.607025
5,128,3.607582
