Iteration,Threads,Elapsed Time(s)
1,1,155.362336
1,2,77.944930
1,4,38.875180
1,8,19.652216
1,16,9.757513
1,24,6.518883
1,32,4.899464
1,40,3.928070
1,48,3.279860
1,56,2.818304
1,64,2.471014
1,72,2.470748
1,80,2.469650
1,88,2.467906
1,96,2.465468
1,104,2.462709
1,112,2.459379
1,120,2.458412
1,128,2.459398
2,1,155.360640
2,2,77.646943
2,4,38.955404
2,8,19.599272
2,16,9.756655
2,24,6.516937
2,32,4.900310
2,40,3.928067
2,48,3.280213
2,56,2.817228
2,64,2.471742
2,72,2.471681
2,80,2.468692
2,88,2.467767
2,96,2.467817
2,104,2.462036
2,112,2.459150
2,120,2.458885
2,128,2.460247
3,1,155.357881
3,2,77.678042
3,4,38.967084
3,8,19.582931
3,16,9.756634
3,24,6.521622
3,32,4.900178
3,40,3.928472
3,48,3.275547
3,56,2.818111
3,64,2.471160
3,72,2.469371
3,80,2.469392
3,88,2.467545
3,96,2.464292
3,104,2.461758
3,112,2.459536
3,120,2.459681
3,128,2.459043
4,1,155.353160
4,2,77.650641
4,4,38.894852
4,8,19.610898
4,16,9.755105
4,24,6.518879
4,32,4.897814
4,40,3.927204
4,48,3.279927
4,56,2.818391
4,64,2.468267
4,72,2.471823
4,80,2.468116
4,88,2.466975
4,96,2.464964
4,104,2.462234
4,112,2.460820
4,120,2.458219
4,128,2.459599
5,1,155.476707
5,2,77.652370
5,4,38.890615
5,8,19.658603
5,16,9.756496
5,24,6.517699
5,32,4.898177
5,40,3.929417
5,48,3.281090
5,56,2.818322
5,64,2.469995
5,72,2.470000
5,80,2.468545
5,88,2.467785
5,96,2.465588
5,104,2.463028
5,112,2.460283
5,120,2.458910
5,128,2.458843
