Iteration,Threads,Elapsed Time(s)
1,1,9.217598
1,2,9.217328
1,4,9.227869
1,8,9.206806
1,16,9.208869
1,24,9.210970
1,32,10.174755
1,40,12.715747
1,48,15.265608
1,56,17.816909
1,64,20.359834
1,72,22.900894
1,80,25.447482
1,88,27.975021
1,96,30.518703
1,104,33.066439
1,112,35.618673
1,120,38.159823
1,128,40.694158
2,1,9.204680
2,2,9.199696
2,4,9.203274
2,8,9.207707
2,16,9.209504
2,24,9.206126
2,32,10.163608
2,40,12.705589
2,48,15.254897
2,56,17.809117
2,64,20.346055
2,72,22.888984
2,80,25.436176
2,88,27.960751
2,96,30.502945
2,104,33.049059
2,112,35.586204
2,120,38.126286
2,128,40.672886
3,1,9.209311
3,2,9.245599
3,4,9.203477
3,8,9.210710
3,16,9.205620
3,24,9.203075
3,32,10.165737
3,40,12.700134
3,48,15.246248
3,56,17.793773
3,64,20.339933
3,72,22.896561
3,80,25.425387
3,88,27.966278
3,96,30.509351
3,104,33.054058
3,112,35.596425
3,120,38.131111
3,128,40.671392
4,1,9.212364
4,2,9.213686
4,4,9.198760
4,8,9.198973
4,16,9.204763
4,24,9.207034
4,32,10.164036
4,40,12.701787
4,48,15.252623
4,56,17.790716
4,64,20.335457
4,72,22.897298
4,80,25.414827
4,88,28.000450
4,96,30.555726
4,104,33.101353
4,112,35.654540
4,120,38.189248
4,128,40.714556
5,1,9.223754
5,2,9.223249
5,4,9.210509
5,8,9.220732
5,16,9.227159
5,24,9.213544
5,32,10.168854
5,40,12.714310
5,48,15.259380
5,56,17.801933
5,64,20.341777
5,72,22.879469
5,80,25.410863
5,88,27.966276
5,96,30.548442
5,104,33.088491
5,112,35.619874
5,120,38.148136
5,128,40.718721
